,GenomeID,Gene,Hit,E-value,Bit Score,Bias,Domain Start,Domain End,Location,Orientation,Flag_Bias,contig,pos_num,operon,top_hit,GTDB,Seq,residue_match
189147,GB_GCA_000166095.1,nifB,CP002278.1_1175_A,7.2e-07,24.2,1.6,1,225,1110393-1111319,-1,0,CP002278.1,1175,7,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__DSM-2088;f__Methanothermaceae;g__Methanothermus;s__Methanothermus fervidus,,nifB
189148,GB_GCA_000166095.1,nifB,CP002278.1_1197_A,7.3e-122,403.4,2.7,1,283,1130329-1131183,1,0,CP002278.1,1197,10,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__DSM-2088;f__Methanothermaceae;g__Methanothermus;s__Methanothermus fervidus,,nifB
189149,GB_GCA_000306725.1,nifB,CP003083.1_2196_A,3.8e-07,26.3,0.7,11,232,2251703-2252638,1,0,CP003083.1,2196,10,nifB,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,,nifB
189150,GB_GCA_000306725.1,nifB,CP003083.1_2458_A,1.4000000000000003e-111,370.6,3.8,2,302,2514254-2515192,1,0,CP003083.1,2458,11,nifB,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,,nifB
189151,GB_GCA_000309865.1,nifB,AMGN01000034.1_7_A,3.5e-08,29.4,0.7,5,228,5371-6300,-1,0,AMGN01000034.1,7,1,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865,,nifB
189152,GB_GCA_000309865.1,nifB,AMGN01000056.1_39_A,2.4e-128,425.7,4.7,0,283,37999-38850,1,0,AMGN01000056.1,39,1,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865,,nifB
189153,GB_GCA_000350305.1,nifB,CP002916.1_402_A,6.2e-74,245.6,0.0,0,210,363026-364060,-1,0,CP002916.1,402,1,nifB,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp000350305,,nifB
189154,GB_GCA_000499765.1,nifB,HG425166.1_1262_A,8.900000000000001e-130,430.1,4.4,0,283,1267277-1268128,-1,0,HG425166.1,1262,2,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765,,nifB
189155,GB_GCA_001412335.1,nifB,LKUF01000411.1_3_A,1.2e-109,364.1,1.3,8,294,2215-3108,1,0,LKUF01000411.1,3,1,nifB,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__SD8;s__SD8 sp001412335,,nifB
189156,GB_GCA_001412355.1,nifB,LKUD01000005.1_10_A,2.4e-104,346.4,0.7,7,303,14372-15295,1,0,LKUD01000005.1,10,1,nifB,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__LKUD01;s__LKUD01 sp001412355,,nifB
189157,GB_GCA_001509375.1,nifB,LGFT01000026.1_16_A,2.4e-111,369.6,1.2,4,297,12589-13485,-1,0,LGFT01000026.1,16,1,nifB,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanocrinis;s__Methanocrinis harundinacea_D,,nifB
189158,GB_GCA_001509375.1,nifB,LGFT01000067.1_8_A,1.8e-07,27.1,0.2,5,216,7772-8680,1,0,LGFT01000067.1,8,1,nifB,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanocrinis;s__Methanocrinis harundinacea_D,,nifB
189159,GB_GCA_001512375.1,nifB,LFRN01000049.1_21_A,6.7e-06,21.8,1.3,3,211,13543-14421,1,0,LFRN01000049.1,21,1,nifB,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__Methanoculleus thermohydrogenotrophicum,,nifB
189160,GB_GCA_001512375.1,nifB,LFRN01000068.1_12_A,3.4e-111,369.1,1.1,5,295,14845-15756,1,0,LFRN01000068.1,12,1,nifB,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__Methanoculleus thermohydrogenotrophicum,,nifB
189161,GB_GCA_001560915.1,nifB,CP014214.1_1454_A,2.4999999999999998e-112,372.4,0.2,1,286,1533791-1535035,1,0,CP014214.1,1454,5,nifB,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp001560915,,nifB
189162,GB_GCA_001563305.1,nifB,CP013703.1_1244_A,6.8e-126,416.9,4.4,0,402,1292013-1293245,1,0,CP013703.1,1244,6,nifB,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoprimaticola;s__Methanoprimaticola sp001563305,,nifB
189163,GB_GCA_001602645.1,nifB,LUYE01000014.1_40_A,3.1e-110,366.0,1.0,4,303,43175-44086,-1,0,LUYE01000014.1,40,1,nifB,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanocrinis;s__Methanocrinis sp001602645,,nifB
189164,GB_GCA_001714685.2,nifB,MDTP02000045.1_17_A,7.2e-112,372.0,2.3,4,322,16414-17385,1,0,MDTP02000045.1,17,1,nifB,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp001714685,,nifB
189165,GB_GCA_001714685.2,nifB,MDTP02000194.1_8_A,1.1e-07,28.4,1.5,22,230,6204-7244,-1,0,MDTP02000194.1,8,1,nifB,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp001714685,,nifB
189166,GB_GCA_001896725.1,nifB,MPPA01000018.1_3_A,5.7000000000000014e-111,368.2,4.3,6,303,2269-3195,-1,0,MPPA01000018.1,3,1,nifB,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__Methanomethylovorans sp001896725,,nifB
189167,GB_GCA_001914405.1,nifB,MSDW01000001.1_869_A,7.1e-107,354.7,1.3,7,295,885022-885912,1,0,MSDW01000001.1,869,2,nifB,d__Archaea;p__Halobacteriota;c__Methanonatronarchaeia;o__Methanonatronarchaeales;f__Methanonatronarchaeaceae;g__Methanohalarchaeum;s__Methanohalarchaeum thermophilum,,nifB
189168,GB_GCA_002011235.1,nifB,MTMO01000002.1_6_A,2.7e-76,254.1,1.2,6,274,3276-4106,1,0,MTMO01000002.1,6,1,nifB,d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus_A;s__Archaeoglobus_A sp002011235,,nifB
189169,GB_GCA_002011235.1,nifB,MTMO01000034.1_146_A,4.4e-05,19.3,2.6,2,222,127272-128282,-1,1,MTMO01000034.1,146,1,nifB,d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus_A;s__Archaeoglobus_A sp002011235,,nifB
189170,GB_GCA_002067065.1,nifB,MVPY01000038.1_25_A,2.6e-128,425.6,4.2,0,283,19437-20288,-1,0,MVPY01000038.1,25,1,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp002067065,,nifB
189171,GB_GCA_002067095.1,nifB,MVQD01000054.1_2_A,3.3e-108,359.2,2.7,7,294,981-1874,1,0,MVQD01000054.1,2,1,nifB,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanolinea_A;s__Methanolinea_A sp002067095,,nifB
189172,GB_GCA_002067095.1,nifB,MVQD01000106.1_117_A,2.2e-05,20.1,4.6,5,212,124360-125238,-1,1,MVQD01000106.1,117,3,nifB,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanolinea_A;s__Methanolinea_A sp002067095,,nifB
189173,GB_GCA_002067325.1,nifB,MVQY01000079.1_33_A,1.6e-118,393.2,5.9,0,283,28109-28960,1,0,MVQY01000079.1,33,1,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_A;s__Methanobacterium_A sp002067325,,nifB
189174,GB_GCA_002067365.1,nifB,MVRK01000031.1_31_A,2.9e-108,359.7,1.8,4,302,36024-36941,-1,0,MVRK01000031.1,31,2,nifB,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix sp002067365,,nifB
189175,GB_GCA_002067635.1,nifB,MVRB01000078.1_4_A,1.0999999999999999e-121,403.2,0.3,1,295,1600-2880,1,0,MVRB01000078.1,4,1,nifB,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__UBA6;s__UBA6 sp002067635,,nifB
189176,GB_GCA_002067705.1,nifB,MVRL01000173.1_40_A,4.9e-108,359.3,2.5,5,301,39307-40215,-1,0,MVRL01000173.1,40,1,nifB,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix sp002067705,,nifB
189177,GB_GCA_002067755.1,nifB,MVQH01000088.1_12_A,4.400000000000001e-110,365.5,1.5,7,302,10860-11768,1,0,MVQH01000088.1,12,1,nifB,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix sp002067755,,nifB
189178,GB_GCA_002067895.1,nifB,MVRE01000017.1_137_A,5.2e-107,355.3,4.9,8,293,121870-122766,1,0,MVRE01000017.1,137,1,nifB,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__MVRE01;s__MVRE01 sp002067895,,nifB
189179,GB_GCA_002494495.1,nifB,DACB01000004.1_16_A,9.3e-09,31.0,0.8,3,233,13718-14761,1,0,DACB01000004.1,16,2,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_A;s__Methanobacterium_A sp002494495,,nifB
189180,GB_GCA_002494495.1,nifB,DACB01000005.1_41_A,3.7e-119,395.0,4.8,0,283,37760-38611,-1,0,DACB01000005.1,41,1,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_A;s__Methanobacterium_A sp002494495,,nifB
189181,GB_GCA_002494765.1,nifB,DACJ01000072.1_21_A,2.7e-101,335.9,3.5,3,283,23026-23877,-1,0,DACJ01000072.1,21,1,nifB,d__Archaea;p__Thermoplasmatota;c__UBA186;o__UBA186;f__UBA186;g__UBA186;s__UBA186 sp002494765,,nifB
189182,GB_GCA_002495065.1,nifB,DADT01000062.1_3_A,5.5e-06,22.2,0.7,5,224,2386-3366,-1,0,DADT01000062.1,3,1,nifB,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanoregula;s__Methanoregula sp002495065,,nifB
189183,GB_GCA_002495065.1,nifB,DADT01000066.1_7_A,3.5e-107,355.9,4.7,7,292,4372-5265,-1,0,DADT01000066.1,7,1,nifB,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanoregula;s__Methanoregula sp002495065,,nifB
189184,GB_GCA_002495225.1,nifB,DAEF01000025.1_1_A,8.3e-07,24.7,1.0,1,226,1-780,-1,0,DAEF01000025.1,1,1,nifB,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__UBA288;s__UBA288 sp002495225,,nifB
189185,GB_GCA_002495225.1,nifB,DAEF01000235.1_14_A,2.2e-109,363.0,3.0,7,295,7289-8188,-1,0,DAEF01000235.1,14,1,nifB,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__UBA288;s__UBA288 sp002495225,,nifB
189186,GB_GCA_002495325.1,nifB,DAEQ01000002.1_2_A,6.4e-112,370.8,1.2,1,289,2629-3876,1,0,DAEQ01000002.1,2,1,nifB,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp002495325,,nifB
189187,GB_GCA_002495625.1,nifB,DAGC01000002.1_200_A,4e-119,395.3,5.5,0,283,175609-176460,1,0,DAGC01000002.1,200,3,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_A;s__Methanobacterium_A sp002495625,,nifB
189188,GB_GCA_002495625.1,nifB,DAGC01000005.1_133_A,3.4e-11,39.4,0.4,20,233,142856-143878,-1,0,DAGC01000005.1,133,2,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_A;s__Methanobacterium_A sp002495625,,nifB
189189,GB_GCA_002496395.1,nifB,DAJQ01000021.1_11_A,1.2e-110,367.2,1.4,4,294,6462-7376,-1,0,DAJQ01000021.1,11,1,nifB,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocalculus;s__Methanocalculus sp002496395,,nifB
189190,GB_GCA_002496395.1,nifB,DAJQ01000050.1_92_A,7e-10,34.8,0.2,2,216,82001-82885,-1,0,DAJQ01000050.1,92,1,nifB,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocalculus;s__Methanocalculus sp002496395,,nifB
189191,GB_GCA_002496805.1,nifB,DALO01000029.1_87_A,3.7e-129,428.1,5.3,0,283,87085-87936,1,0,DALO01000029.1,87,2,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp002496805,,nifB
189192,GB_GCA_002497075.1,nifB,DAML01000028.1_2_A,3.1e-123,408.5,2.6,1,424,1068-2345,1,0,DAML01000028.1,2,1,nifB,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__UBA472;g__UBA472;s__UBA472 sp002497075,,nifB
189193,GB_GCA_002498375.1,nifB,DAHC01000011.1_21_A,1.1e-109,363.5,3.5,8,297,18533-19465,1,0,DAHC01000011.1,21,1,nifB,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__Methanocorpusculum sp002498375,,nifB
189194,GB_GCA_002498375.1,nifB,DAHC01000014.1_15_A,3.6e-10,35.4,0.3,9,236,12319-13278,-1,0,DAHC01000014.1,15,1,nifB,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__Methanocorpusculum sp002498375,,nifB
189195,GB_GCA_002498385.1,nifB,DAHH01000004.1_149_A,1.2e-126,419.8,5.8,0,283,141746-142597,1,0,DAHH01000004.1,149,2,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_C;s__Methanobacterium_C sp002498385,,nifB
189196,GB_GCA_002498385.1,nifB,DAHH01000015.1_249_A,4.3e-09,32.1,1.7,10,225,260065-261096,1,0,DAHH01000015.1,249,2,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_C;s__Methanobacterium_C sp002498385,,nifB
189197,GB_GCA_002498605.1,nifB,DAHY01000045.1_2_A,2.1e-116,385.3,1.7,0,290,3404-4663,1,0,DAHY01000045.1,2,1,nifB,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__VadinCA11;s__VadinCA11 sp002498605,,nifB
189198,GB_GCA_002499905.1,nifB,DANP01000016.1_33_A,1.3e-105,350.5,1.2,3,294,34180-35073,-1,0,DANP01000016.1,33,1,nifB,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__UBA9949;s__UBA9949 sp002499905,,nifB
