'JACRNJ01 sp964631455 | nif | GB GCA 964631455.1 | CAZVZI010000191.1 3'
'SZUA-224 sp003229375 | nif | GB GCA 003229375.1 | QIDP01000121.1 19'
'Heliomicrobium modesticaldum | nif | RS GCF 000019165.1 | NC 010337.2 989'
'JAEWCM01 sp023390635 | nif | GB GCA 023390635.1 | JAEWCM010000154.1 5'
'Desulfitobacterium A nosdiversum | nif | RS GCF 049860565.1 | NZ CP172056.1 15'
'JAJZPA01 sp020692355 | nif | GB GCA 020692355.1 | JAIMKP010000069.1 7'
'Desulfosporosinus sp035648035 | nif | GB GCA 035648035.1 | DASRMG010000016.1 16'
'Desulfosporosinus sp000224515 | nif | RS GCF 000224515.1 | NZ AGAF01000125.1 10'
'Methylomusa anaerophila | nif | RS GCF 003966895.1 | NZ AP018449.1 2668'
'UBA2219 sp040758155 | nif | GB GCA 040758155.1 | JBFLWB010000135.1 32'
'RF6 sp021044625 | nif | RS GCF 021044625.1 | NZ CP087999.1 4093'
'VEOV01 sp009886125 | nif | GB GCA 009886125.1 | VFJK01000052.1 8'
'CAIPTY01 sp942493195 | nif | GB GCA 942493195.1 | OW818669.1 3360'
'JADKCZ01 sp031388695 | nif | GB GCA 031388695.1 | JANMRY010000067.1 7'
'Geoalkalibacter A sp034189505 | nif | GB GCA 034189505.1 | JAXHUR010000016.1 16'
'Desulfuromonas sp034006225 | nif | GB GCA 034006225.1 | JAVETC010000016.1 31'
'Malonomonas sp013152145 | nif | GB GCA 013152145.1 | JAADGW010000228.1 6'
'JAENIX01 sp016218975 | nif | GB GCA 016218975.1 | JACRCO010000071.1 85'
'JAFGBI01 sp050304295 | nif | GB GCA 050304295.1 | JBNLDK010000172.1 29'
'Anaeromyxobacter sp963828235 | nif | GB GCA 963828235.1 | CAWHDY010000011.1 221'
'Anaeromyxobacter sp023428085 | nif | GB GCA 023428085.1 | JAEYZK010000392.1 13'
'Fen-1118 sp963737265 | nif | GB GCA 963737265.1 | CAVTRY010000012.1 239'
'FEN-1139 sp964454965 | nif | GB GCA 964454965.1 | CAYVXY010000008.1 106'
'FEN-1139 sp049840955 | nif | GB GCA 049840955.1 | JASGIX010000034.1 84'
'FEN-1139 sp963811985 | nif | GB GCA 963811985.1 | CAWEUH010000030.1 63'
'Fen-1118 sp964491625 | nif | GB GCA 964491625.1 | CAZBIU010000147.1 9'
'JAOUFE01 sp029858425 | nif | GB GCA 029858425.1 | JAOUFE010000079.1 14'
'JBNLDQ01 sp050304475 | nif | GB GCA 050304475.1 | JBNLDQ010000041.1 79'
'CAZQKZ01 sp964594095 | nif | GB GCA 964594095.1 | CAZQKZ010000060.1 4'
'UBA2286 sp002841355 | nif | GB GCA 002841355.1 | PHFB01000002.1 257'
'CAZSLI01 sp964607705 | nif | GB GCA 964607705.1 | CAZSLI010000003.1 92'
'CAVPCY01 sp964467305 | nif | GB GCA 964467305.1 | CAYXQU010000060.1 6'
'JARLGT01 sp031292615 | nif | GB GCA 031292615.1 | JARLGT010000073.1 6'
'JAAXUF01 sp013336165 | nif | GB GCA 013336165.1 | JAAXUF010000009.1 33'
'JAOAGA01 sp964540515 | nif | GB GCA 964540515.1 | CAZIMS010000009.1 36'
'Magnetobacterium sp015233725 | nif | GB GCA 015233725.1 | JADFXD010000012.1 36'
'Magnetomonas sp015233895 | nif | GB GCA 015233895.1 | JADFXG010000040.1 11'
'Magnetomicrobium cryptolimnococcus | nif | GB GCA 018606805.1 | JAGYWI010000039.1 1'
'JAKAKS01 sp021813405 | nif | GB GCA 021813405.1 | JAKAKS010000022.1 100'
'Thermodesulfovibrio aggregans | nif | RS GCF 001514535.1 | NZ BCNO01000003.1 17'
'Thermodesulfovibrio sp964614465 | nif | GB GCA 964614465.1 | CAZTLF010000055.1 9'
'JADFXP01 sp015233465 | nif | GB GCA 015233465.1 | JADFXP010000003.1 30'
'CADDYS01 sp021794835 | nif | GB GCA 021794835.1 | JAJYQA010000029.1 146'
'Aquicultor sp030682615 | nif | GB GCA 030682615.1 | JAUXNY010000099.1 19'
'JAAYUK01 sp009773415 | nif | GB GCA 009773415.1 | WSNO01000022.1 72'
'SURF-23 sp016234115 | nif | GB GCA 016234115.1 | JACRHD010000067.1 124'
'DUZI01 sp937949555 | nif | GB GCA 937949555.1 | CALEDV010000012.1 20'
'JAJRYC01 sp035873255 | nif | GB GCA 035873255.1 | JAYWMP010000306.1 31'
'GWB2-47-37 sp021792185 | nif | GB GCA 021792185.1 | JAJYVD010000002.1 72'
'JBAZLV01 sp964586075 | nif | GB GCA 964586075.1 | CAZPGZ010000005.1 133'
'UBA6898 sp964461065 | nif | GB GCA 964461065.1 | CAYWRK010000004.1 182'
'Fen-1308 sp963727805 | nif | GB GCA 963727805.1 | CAVSHF010000003.1 1682'
