,GenomeID,Gene,Hit,E-value,Bit Score,Bias,Domain Start,Domain End,Location,Orientation,Flag_Bias,contig,pos_num,operon,top_hit,GTDB,Seq,residue_match
205422,GB_GCA_002495625.1,anfG,DAGC01000002.1_84_A,3.2e-54,179.1,2.9,0,116,69595-69945,1,0,DAGC01000002.1,84,2,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_A;s__Methanobacterium_A sp002495625,,anfG
205423,GB_GCA_002508465.1,anfG,DAQQ01000136.1_38_A,4.9e-32,108.1,0.4,0,112,44296-44634,-1,0,DAQQ01000136.1,38,1,vnfG,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp002508465,,anfG
205424,GB_GCA_002508465.1,anfG,DAQQ01000252.1_5_A,4.9e-64,211.3,1.1,0,116,5080-5430,-1,0,DAQQ01000252.1,5,1,anfG,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp002508465,,anfG
205425,GB_GCA_003151535.1,anfG,PLXT01000077.1_58_A,1e-60,200.6,1.7,0,116,59070-59420,1,0,PLXT01000077.1,58,1,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B sp003151535,,anfG
205426,GB_GCA_003158115.1,anfG,PMGM01000034.1_9_A,1.3e-61,203.0,2.9,0,116,5626-5976,1,0,PMGM01000034.1,9,1,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B sp003158115,,anfG
205427,GB_GCA_003164415.1,anfG,PLTK01000024.1_10_A,3.4e-61,201.6,2.4,0,116,6287-6637,-1,0,PLTK01000024.1,10,1,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B sp003164415,,anfG
205428,GB_GCA_003164755.1,anfG,PLUB01000010.1_87_A,1.9e-62,206.0,1.8,0,116,99842-100192,1,0,PLUB01000010.1,87,2,anfG,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp003164755,,anfG
205429,GB_GCA_003978865.1,anfG,QNXS01000077.1_16_A,2.6e-29,97.8,0.3,0,113,12824-13165,-1,0,QNXS01000077.1,16,1,vnfG,d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WAPX01;s__WAPX01 sp003978865,,anfG
205430,GB_GCA_009712615.1,anfG,WASR01000091.1_3_A,9.599999999999998e-53,174.2,6.1,0,116,2945-3295,1,0,WASR01000091.1,3,1,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B sp009712615,,anfG
205431,GB_GCA_015520485.1,anfG,WAPX01000068.1_27_A,4.8e-28,94.2,0.1,0,113,21452-21793,-1,0,WAPX01000068.1,27,1,vnfG,d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WAPX01;s__WAPX01 sp015520485,,anfG
205432,GB_GCA_015661405.1,anfG,JACWMK010000023.1_15_A,1e-60,200.3,3.2,0,116,14685-15035,-1,0,JACWMK010000023.1,15,1,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_A;s__Methanobacterium_A sp015661405,,anfG
205433,GB_GCA_023399215.1,anfG,JAEWQJ010000031.1_66_A,1.3e-31,106.7,0.1,0,112,89181-89519,-1,0,JAEWQJ010000031.1,66,1,vnfG,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp023399215,,anfG
205434,GB_GCA_023430285.1,anfG,JAEZAV010000106.1_6_A,5.4e-54,178.2,7.6,1,117,7396-7749,1,0,JAEZAV010000106.1,6,1,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B sp023430285,,anfG
205435,GB_GCA_024167805.1,anfG,CP099988.1_2316_A,1.0999999999999999e-53,177.7,7.1,0,116,2054477-2054827,1,0,CP099988.1,2316,9,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B sp024167805,,anfG
205436,GB_GCA_027066965.1,anfG,JAMOMT010000139.1_7_A,7.000000000000001e-23,77.5,0.0,3,120,7487-7849,-1,0,JAMOMT010000139.1,7,1,vnfG,d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WAPX01;s__WAPX01 sp027066965,,anfG
205437,GB_GCA_028679775.1,anfG,JAJRAX010000194.1_7_A,6.7e-17,58.9,0.2,0,77,4277-4510,1,0,JAJRAX010000194.1,7,1,vnfG,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix sp028679775,,anfG
205438,GB_GCA_028688175.1,anfG,JAQTYS010000031.1_11_A,1.2e-32,110.0,0.1,0,114,10828-11172,-1,0,JAQTYS010000031.1,11,1,vnfG,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix sp028688175,,anfG
205439,GB_GCA_035402785.1,anfG,DAONDW010000081.1_4_A,4.3e-31,104.2,0.3,0,114,3596-3940,-1,0,DAONDW010000081.1,4,1,vnfG,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix sp035402785,,anfG
205440,GB_GCA_035560835.1,anfG,DATMYS010000534.1_5_A,3.4e-63,208.3,1.0,0,116,3426-3776,1,0,DATMYS010000534.1,5,1,anfG,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp035560835,,anfG
205441,GB_GCA_039666455.1,anfG,JAVSLW010000019.1_51_A,1.3e-59,196.3,2.7,0,116,38699-39049,1,0,JAVSLW010000019.1,51,1,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_D;s__Methanobacterium_D sp039666455,,anfG
205442,GB_GCA_963703015.1,anfG,OY969779.1_440_A,2e-53,176.6,6.9,0,116,469837-470187,-1,0,OY969779.1,440,5,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B sp963703015,,anfG
205443,GB_GCA_963704525.1,anfG,OY969914.1_880_A,3.8e-56,185.3,7.3,0,116,901175-901525,-1,0,OY969914.1,880,4,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B sp963704525,,anfG
205444,GB_GCA_963707035.1,anfG,CAVPON010000009.1_254_A,2.4e-61,202.2,4.9,0,116,231700-232050,-1,0,CAVPON010000009.1,254,1,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_A;s__Methanobacterium_A sp963707035,,anfG
205445,GB_GCA_963727895.1,anfG,CAVSHT010000007.1_61_A,4.799999999999998e-41,137.3,1.1,0,77,51337-51573,-1,0,CAVSHT010000007.1,61,1,anfG,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp963727895,,anfG
205446,GB_GCA_963727895.1,anfG,CAVSHT010000011.1_28_A,1.4000000000000001e-33,113.2,0.7,0,112,30211-30549,-1,0,CAVSHT010000011.1,28,1,vnfG,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp963727895,,anfG
205447,GB_GCA_963733675.1,anfG,CAVTET010000004.1_148_A,2.5e-62,205.7,2.3,0,116,162766-163116,-1,0,CAVTET010000004.1,148,1,anfG,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp963733675,,anfG
205448,GB_GCA_963763235.1,anfG,CAVXNY010000013.1_170_A,6.6e-64,210.5,1.7,0,116,187533-187883,1,0,CAVXNY010000013.1,170,2,anfG,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp963763235,,anfG
