,Gene,Hit,E-value,Best Domain E-value,Bit Score,Bias,Location,Alignment Length,Sequence Length,Flag_Eval,Flag_Bias,GTDB,gene_cluster,GenomeID,contig
0,nifH,CP003083.1_1272,9.9e-140,1.1e-139,462.7,1.0,1332090-1332911,273,821,0,0,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,1,GB_GCA_000306725.1,CP003083.1
1,nifD,CP003083.1_1275,2.5e-214,3.5e-214,709.5,3.8,1333636-1335213,524,1577,0,0,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,1,GB_GCA_000306725.1,CP003083.1
2,nifD,CP003083.1_1277,7.5e-139,9.9e-139,460.6,0.2,1336629-1338131,454,1502,0,0,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,1,GB_GCA_000306725.1,CP003083.1
3,nifD,CP003083.1_1278,1.9e-17,5e-12,60.2,0.1,1338128-1339546,366,1418,0,0,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,1,GB_GCA_000306725.1,CP003083.1
4,nifD,CP003083.1_1276,2.6e-15,1.6e-14,53.2,0.0,1335227-1336597,347,1370,0,0,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,1,GB_GCA_000306725.1,CP003083.1
5,nifK,CP003083.1_1276,4e-184,4.8e-184,610.2,0.0,1335227-1336597,455,1370,0,0,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,1,GB_GCA_000306725.1,CP003083.1
6,nifK,CP003083.1_1278,4.5e-143,5.4e-143,474.8,0.0,1338128-1339546,449,1418,0,0,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,1,GB_GCA_000306725.1,CP003083.1
7,nifK,CP003083.1_1277,1.3e-35,1.1e-33,120.3,0.9,1336629-1338131,428,1502,0,0,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,1,GB_GCA_000306725.1,CP003083.1
8,nifK,CP003083.1_1275,2.2e-21,5e-19,73.4,1.0,1333636-1335213,373,1577,0,0,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,1,GB_GCA_000306725.1,CP003083.1
9,nifE,CP003083.1_1277,1e-192,1.1e-192,638.9,0.7,1336629-1338131,486,1502,0,0,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,1,GB_GCA_000306725.1,CP003083.1
