query_id,genome,contig,operon,cluster,gene,start,end,orientation
CP000781.1_89,GB_GCA_000017645.1,CP000781.1,1,nif,calS4,94485.0,95744.0,1.0
CP000781.1_87,GB_GCA_000017645.1,CP000781.1,1,nif,vupC,92375.0,93136.0,1.0
CP000781.1_90,GB_GCA_000017645.1,CP000781.1,1,nif,cfbC,96417.0,97298.0,1.0
CP000781.1_88,GB_GCA_000017645.1,CP000781.1,1,nif,sufD,93141.0,94481.0,1.0
CP000781.1_86,GB_GCA_000017645.1,CP000781.1,1,nif,sufB,90834.0,92318.0,1.0
CP000781.1_85,GB_GCA_000017645.1,CP000781.1,1,nif,A10,90310.0,90504.0,1.0
CP000781.1_92,GB_GCA_000017645.1,CP000781.1,1,nif,nifK,98968.0,100527.0,1.0
CP000781.1_94,GB_GCA_000017645.1,CP000781.1,1,nif,nifN,102559.0,103986.0,1.0
CP000781.1_93,GB_GCA_000017645.1,CP000781.1,1,nif,nifE,100648.0,102549.0,1.0
CP000781.1_91,GB_GCA_000017645.1,CP000781.1,1,nif,nifD,97375.0,98880.0,1.0
CP000781.1_95,GB_GCA_000017645.1,CP000781.1,1,nif,NIFX_HERSE,104011.0,104406.0,1.0
CP000781.1_96,GB_GCA_000017645.1,CP000781.1,1,nif,YNIX_RHOCA,104415.0,104885.0,1.0
CP000781.1_98,GB_GCA_000017645.1,CP000781.1,1,nif,FER3_SINFN,105120.0,105416.0,1.0
CP000781.1_95,GB_GCA_000017645.1,CP000781.1,1,nif,nifX,104011.0,104406.0,1.0
CP000781.1_96,GB_GCA_000017645.1,CP000781.1,1,nif,WP_138400539.1,104415.0,104885.0,1.0
CP000781.1_97,GB_GCA_000017645.1,CP000781.1,1,nif,WP_011995773.1,104901.0,105101.0,1.0
CP000781.1_98,GB_GCA_000017645.1,CP000781.1,1,nif,WP_282889910.1,105120.0,105416.0,1.0
CP000781.1_109,GB_GCA_000017645.1,CP000781.1,2,nif,NFS1,113138.0,114340.0,1.0
CP000781.1_112,GB_GCA_000017645.1,CP000781.1,2,nif,nifB,115938.0,117500.0,1.0
CP000781.1_107,GB_GCA_000017645.1,CP000781.1,2,nif,erpA,112347.0,112667.0,1.0
CP000781.1_108,GB_GCA_000017645.1,CP000781.1,2,nif,NIFU_AZOVI,112733.0,113098.0,1.0
CP000781.1_110,GB_GCA_000017645.1,CP000781.1,2,nif,FIXU_RHILT,114527.0,114742.0,1.0
CP000781.1_113,GB_GCA_000017645.1,CP000781.1,2,nif,FDXN_BRADU,117621.0,117845.0,1.0
CP000781.1_115,GB_GCA_000017645.1,CP000781.1,2,nif,YNIW_AZOCH,118274.0,118813.0,1.0
CP000781.1_108,GB_GCA_000017645.1,CP000781.1,2,nif,WP_282889901.1,112733.0,113098.0,1.0
CP000781.1_110,GB_GCA_000017645.1,CP000781.1,2,nif,nifT,114527.0,114742.0,1.0
CP000781.1_111,GB_GCA_000017645.1,CP000781.1,2,nif,WP_138400528.1,114749.0,115621.0,1.0
CP000781.1_113,GB_GCA_000017645.1,CP000781.1,2,nif,WP_011995790.1,117621.0,117845.0,1.0
CP000781.1_114,GB_GCA_000017645.1,CP000781.1,2,nif,WP_149576276.1,117857.0,118171.0,1.0
CP000781.1_115,GB_GCA_000017645.1,CP000781.1,2,nif,WP_149576277.1,118274.0,118813.0,1.0
CP001622.1_2227,GB_GCA_000023185.1,CP001622.1,1,nif,CNX2,2252144.0,2253190.0,1.0
CP001622.1_2228,GB_GCA_000023185.1,CP001622.1,1,nif,couO,2253343.0,2254128.0,-1.0
CP001622.1_2231,GB_GCA_000023185.1,CP001622.1,1,nif,ABC.FEV.A,2256451.0,2257203.0,1.0
CP001622.1_2230,GB_GCA_000023185.1,CP001622.1,1,nif,hemU,2255387.0,2256457.0,1.0
