'Thermoanaerobacterium sp900205865|none|RS GCF 900205865.1|NZ LT906662.1 2612'
'Methanosarcina sp002508465|GM-anode biofilm|GB GCA 002508465.1|DAQQ01000136.1 42'
'UBA695 sp002298145|GM-anode biofilm|GB GCA 002298145.1|DBMP01000017.1 46'
'Clostridium B kluyveri B|the pit mud of a Chinese flavor liquor-making factory|RS GCF 001902295.1|NZ CP018335.1 2103'
'UBA1305 sp023399355|feces|GB GCA 023399355.1|JAEWQC010000274.1 4'
'JAEYGM01 sp023454275|feces|GB GCA 023454275.1|JAEYGM010000020.1 133'
'Ruminiclostridium D sp002306975|soil|GB GCA 002306975.1|DBTI01000267.1 30'
'Ruminiclostridium hungatei|soil under a pile of rotting wood chips|RS GCF 002051585.1|NZ MZGX01000018.1 69'
'Desulfobacter curvatus|none|RS GCF 000373985.1|NZ KB893046.1 39'
'Paenibacillus durus|marine sediment|RS GCF 000756615.1|NZ CP009288.1 2261'
'Methylomusa anaerophila|sludge|RS GCF 003966895.1|NZ AP018449.1 452'
'Lucifera butyrica|none|RS GCF 900476375.1|NZ UPPP01000127.1 89'
'CALFXO01 sp937958025|metagenome|GB GCA 937958025.1|CALFXO010000064.1 7'
'Palsa-288 sp031296325|bioreactor inoculated with peat from an acidic fen and consecutively exposed to oxic and anoxic cycles|GB GCA 031296325.1|JARLFY010000068.1 11'
'Seleniivibrio woodruffii A|native outdoor hot spring sediment|RS GCF 029267515.1|NZ JAJUIS010000005.1 163'
'Clostridium sp031292145|bioreactor inoculated with peat from an acidic fen and consecutively exposed to oxic and anoxic cycles|GB GCA 031292145.1|JARLHR010000095.1 21'
'Desulfosporosinus sp031292075|bioreactor inoculated with peat from an acidic fen and consecutively exposed to oxic and anoxic cycles|GB GCA 031292075.1|JARLHW010000172.1 30'
'DTU059 sp023424865|feces|GB GCA 023424865.1|JAFADM010000112.1 7'
'Gorillibacterium massiliense|none|RS GCF 000455485.1|NZ CBQR020000141.1 50'
'YN15 sp003285005|Pu er tea|RS GCF 003285005.1|NZ QMFA01000024.1 64'
'Chloroherpeton thalassium|none|RS GCF 000020525.1|NC 011026.1 1869'
'Chlorobium sp013336025|biofilm growing on a polymer composite week 8|GB GCA 013336025.1|JAAXUM010000012.1 9'
'Chlorobaculum sp013334335|biofilm growing on a polymer composite week 18|GB GCA 013334335.1|JAAXXR010000070.1 2'
'Tannerella sp031283915|termite gut|GB GCA 031283915.1|JAITAY010000333.1 9'
'Bacteroides G sp015654535|decomposing wood from intermixed hardwood and conifers|GB GCA 015654535.1|JAATGU010000114.1 33'
'Barb7 sp001657575|hindgut of Cryptocercus punctulatus|GB GCA 001657575.1|LBCX01000005.1 26'
'Mobilitalea sp023439505|feces|GB GCA 023439505.1|JAEXNR010000001.1 16'
'Desulfobulbus elongatus|none|RS GCF 000621145.1|NZ JHZB01000015.1 69'
'JAUPKJ01 sp030837505|urban river|GB GCA 030837505.1|JAUPKJ010000284.1 2'
'Occallatibacter sp015654835|decomposing wood from intermixed hardwood and conifers|GB GCA 015654835.1|JAATGG010000122.1 24'
'Solidesulfovibrio sp000801335|leachate from the gold ore mining spoils at an abandoned mining site|RS GCF 000801335.2|NZ JSEH01000007.1 155'
'Trichlorobacter thiogenes|none|RS GCF 900167465.1|NZ FUWR01000020.1 35'
'JAIRZX01 sp031288415|termite gut|GB GCA 031288415.1|JAITRL010000323.1 3'
'Adiutrix intracellularis|bacterial endosymbionts found in Trichonympha flagellates filtered from termite gut|GB GCA 001577715.1|LQAA01000036.1 11'
'Rhodocyclus tenuis|none|RS GCF 014197755.1|NZ JACIGE010000001.1 48'
'Azomonas agilis|none|RS GCF 007830255.1|NZ VLKG01000004.1 33'
'Pseudothauera nasutitermitis|termite nest|RS GCF 004801295.1|NZ SSOC01000003.1 585'
'Acerihabitans sp015654925|decomposing wood from intermixed hardwood and conifers|GB GCA 015654925.1|JAATFX010000033.1 123'
'Symbiopectobacterium marcescens A|stool|GB GCA 015548865.1|JADMXW010000009.1 77'
'Rhodomicrobium lacus|freshwater|RS GCF 003992725.1|NZ RZNF01000004.1 64'
'Rhodobacter viridis|none|RS GCF 003217355.1|NZ QJTK01000011.1 21'
'Telmatospirillum sp015654615|decomposing wood from intermixed hardwood and conifers|GB GCA 015654615.1|JAATGN010000040.1 18'
'Blastochloris sulfoviridis|sulfur spring|RS GCF 008630065.1|NZ VWPL01000005.1 51'
'Alpha-05 sp003250275|marine hydrothermal sulfide sediment TVG12|GB GCA 003250275.1|QKGW01000496.1 2'
