GenomeID,Gene,Hit,E-value,Bit Score,Bias,Domain Start,Domain End,Location,Orientation,Flag_Bias,contig,pos_num,operon,top_hit,GTDB
GB_GCA_000145985.1,nifB,CP002098.1_844_A,0.00016,17.0,0.0,4,127,794164-794562,1,0,CP002098.1,844,2,nifB,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__Ignisphaera aggregans
GB_GCA_000166095.1,nifB,CP002278.1_568_A,0.00028,15.6,0.0,8,174,548299-549147,-1,0,CP002278.1,568,4,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__DSM-2088;f__Methanothermaceae;g__Methanothermus;s__Methanothermus fervidus
GB_GCA_000166095.1,nifB,CP002278.1_1175_A,7.2e-07,24.2,1.6,1,225,1110393-1111319,-1,0,CP002278.1,1175,8,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__DSM-2088;f__Methanothermaceae;g__Methanothermus;s__Methanothermus fervidus
GB_GCA_000166095.1,nifB,CP002278.1_1197_A,7.3e-122,403.4,2.7,1,283,1130329-1131183,1,0,CP002278.1,1197,12,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__DSM-2088;f__Methanothermaceae;g__Methanothermus;s__Methanothermus fervidus
GB_GCA_000224475.1,nifB,CP002988.1_852_A,7.9e-08,28.8,0.0,1,152,823801-824835,-1,0,CP002988.1,852,1,nifB,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina sp000224475
GB_GCA_000230955.3,nifB,CP007060.1_1982_A,1e-06,25.0,0.0,1,149,1905650-1906609,1,0,CP007060.1,1982,2,nifB,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__Halobacterium sp000230955
GB_GCA_000246735.1,nifB,CM001443.1_648_A,2.1e-08,29.6,0.5,3,192,755940-756944,-1,0,CM001443.1,648,1,nifB,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L1;s__MGIIa-L1 sp000246735
GB_GCA_000247545.1,nifB,CP003316.1_2536_B,0.00057,15.8,0.0,77,201,2119504-2120436,1,0,CP003316.1,2536,2,nifB,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum oguniense
GB_GCA_000270325.1,nifB,BA000048.1_72_A,1.8e-06,23.4,0.1,5,218,66980-67975,-1,0,BA000048.1,72,1,nifB,d__Archaea;p__Thermoproteota;c__Nitrososphaeria_A;o__Caldarchaeales;f__Caldarchaeaceae;g__Caldarchaeum;s__Caldarchaeum subterraneum_A
GB_GCA_000306725.1,nifH,CP003083.1_1272_A,3.2e-136,451.0,0.7,0,273,1332090-1332911,1,0,CP003083.1,1272,9,nifH,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus
GB_GCA_000306725.1,nifE,CP003083.1_1275_B,2.2e-14,50.3,0.0,417,525,1333636-1335213,1,0,CP003083.1,1275,9,nifE,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus
