GenomeID,Gene,Hit,E-value,Bit Score,Bias,Domain Start,Domain End,Location,Orientation,Flag_Bias,contig,pos_num,operon,top_hit,GTDB,Seq,residue_match
GB_GCA_000306725.1,nifN,CP003083.1_1275_A,3.3e-30,102.3,0.0,51,506,1333636-1335213,1,0,CP003083.1,1275,9,nifD,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,,nifN
GB_GCA_000306725.1,nifN,CP003083.1_1276_A,4.8e-121,401.8,0.0,4,454,1335227-1336597,1,0,CP003083.1,1276,9,nifK,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,,nifN
GB_GCA_000306725.1,nifN,CP003083.1_1277_A,5.999999999999999e-42,141.0,0.1,31,479,1336629-1338131,1,0,CP003083.1,1277,9,nifE,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,,nifN
GB_GCA_000306725.1,nifN,CP003083.1_1278_A,2.7e-142,471.9,0.0,0,470,1338128-1339546,1,0,CP003083.1,1278,9,nifK,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,,nifN
GB_GCA_000309865.1,nifN,AMGN01000049.1_6_A,4.1e-150,497.3,0.0,14,474,3927-5357,-1,0,AMGN01000049.1,6,1,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865,,nifN
GB_GCA_000309865.1,nifN,AMGN01000049.1_7_A,2.3e-37,125.6,0.0,67,531,5358-7046,-1,0,AMGN01000049.1,7,1,nifE,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865,,nifN
GB_GCA_000309865.1,nifN,AMGN01000049.1_8_A,3.5e-127,421.7,0.0,0,462,7138-8526,-1,0,AMGN01000049.1,8,1,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865,,nifN
GB_GCA_000499765.1,nifN,HG425166.1_123_A,4e-150,497.1,0.0,0,474,127509-128936,-1,0,HG425166.1,123,6,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765,,nifN
GB_GCA_000499765.1,nifN,HG425166.1_124_A,5.8e-38,127.3,0.0,32,438,128929-130377,-1,0,HG425166.1,124,6,nifE,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765,,nifN
GB_GCA_000499765.1,nifN,HG425166.1_125_A,4.3999999999999994e-129,427.7,0.0,0,462,130550-131938,-1,0,HG425166.1,125,6,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765,,nifN
