GenomeID,Gene,Hit,E-value,Bit Score,Bias,Domain Start,Domain End,Location,Orientation,Flag_Bias,contig,pos_num,operon,top_hit,GTDB,Seq,residue_match
GB_GCA_000306725.1,nifE,CP003083.1_1275_A,1.0000000000000001e-126,421.4,0.6,13,411,1333636-1335213,1,0,CP003083.1,1275,9,nifD,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,,nifE
GB_GCA_000306725.1,nifE,CP003083.1_1276_A,6.3999999999999995e-24,81.8,0.0,17,442,1335227-1336597,1,0,CP003083.1,1276,9,nifK,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,,nifE
GB_GCA_000306725.1,nifE,CP003083.1_1277_A,1.6999999999999999e-205,681.7,0.8,0,499,1336629-1338131,1,0,CP003083.1,1277,9,nifE,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,,nifE
GB_GCA_000309865.1,nifE,AMGN01000049.1_6_A,2.8e-32,109.1,0.0,8,466,3927-5357,-1,0,AMGN01000049.1,6,1,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865,,nifE
GB_GCA_000309865.1,nifE,AMGN01000049.1_7_A,3.1999999999999997e-208,690.3,0.0,29,559,5358-7046,-1,0,AMGN01000049.1,7,1,nifE,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865,,nifE
GB_GCA_000309865.1,nifE,AMGN01000049.1_9_A,1.6e-135,450.1,0.0,4,498,8526-10028,-1,0,AMGN01000049.1,9,1,nifD,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865,,nifE
GB_GCA_000499765.1,nifE,HG425166.1_124_A,7.7e-212,702.0,0.2,0,473,128929-130377,-1,0,HG425166.1,124,6,nifE,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765,,nifE
GB_GCA_000499765.1,nifE,HG425166.1_126_A,2.0000000000000002e-131,436.4,0.0,3,489,131935-133413,-1,0,HG425166.1,126,6,nifD,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765,,nifE
GB_GCA_000499765.1,nifE,HG425166.1_1141_A,4.5e-44,147.8,0.0,28,500,1137937-1139469,1,0,HG425166.1,1141,11,nifE,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765,,nifE
GB_GCA_000499765.1,nifE,HG425166.1_1142_A,7.3e-43,143.8,0.0,1,310,1139466-1140827,1,0,HG425166.1,1142,11,nifN,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765,,nifE
