,GenomeID,Gene,Hit,E-value,Bit Score,Bias,Domain Start,Domain End,Location,Orientation,Flag_Bias,contig,pos_num,operon,top_hit,GTDB,Seq,residue_match
204173,GB_GCA_001563305.1,anfO,CP013703.1_1244_A,1.6e-07,27.3,0.0,304,406,1292013-1293245,1,0,CP013703.1,1244,6,nifB,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoprimaticola;s__Methanoprimaticola sp001563305,,anfO
204174,GB_GCA_002503885.1,anfO,DASQ01000002.1_26_A,4.6e-50,167.0,0.0,11,215,23662-24312,-1,0,DASQ01000002.1,26,1,anfO,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__Methanoculleus marisnigri_B,,anfO
204175,GB_GCA_002506425.1,anfO,DAXO01000070.1_2_A,8.6e-10,34.7,0.0,302,414,568-3642,1,0,DAXO01000070.1,2,1,nifB,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoprimaticola;s__Methanoprimaticola sp002506425,,anfO
204176,GB_GCA_002506905.1,anfO,DAYM01000013.1_2_A,4.2e-06,22.6,0.0,307,410,2000-3232,-1,0,DAYM01000013.1,2,2,nifB,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanogranum;s__Methanogranum sp002506905,,anfO
204177,GB_GCA_002508465.1,anfO,DAQQ01000252.1_3_A,7e-54,179.9,0.0,7,201,2513-3118,-1,0,DAQQ01000252.1,3,1,anfO,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp002508465,,anfO
204178,GB_GCA_002839675.1,anfO,PGYM01000001.1_518_A,3e-53,177.3,0.0,10,217,488775-489437,1,0,PGYM01000001.1,518,4,anfO,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanoregula;s__Methanoregula sp002839675,,anfO
204179,GB_GCA_003154335.1,anfO,PMDE01000028.1_13_A,2.5e-48,161.2,0.0,3,210,9971-10609,-1,0,PMDE01000028.1,13,1,anfO,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanoregula;s__Methanoregula sp003154335,,anfO
204180,GB_GCA_003164755.1,anfO,PLUB01000010.1_90_A,2.6e-68,226.9,0.2,0,208,101910-102539,1,0,PLUB01000010.1,90,2,anfO,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp003164755,,anfO
204181,GB_GCA_003315675.1,anfO,NIZU01000043.1_12_A,1.9e-38,128.7,0.0,2,208,7694-8329,1,0,NIZU01000043.1,12,1,anfO,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__Methanocorpusculum sp003315675,,anfO
204182,GB_GCA_006954465.1,anfO,LVVU01000031.1_11_A,2.6e-09,33.3,0.0,315,419,11638-12897,-1,0,LVVU01000031.1,11,1,nifB,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoprimaticola;s__Methanoprimaticola hominis,,anfO
204183,GB_GCA_009777615.1,anfO,WRLM01000001.1_311_A,4.8e-05,19.1,0.0,301,397,342908-344125,-1,0,WRLM01000001.1,311,1,nifB,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoplasma;s__Methanoplasma cognatum,,anfO
204184,GB_GCA_009911715.1,anfO,CP047880.1_1499_A,7.8e-09,31.9,0.0,308,412,1505532-1506791,1,0,CP047880.1,1499,3,nifB,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoprimaticola;s__Methanoprimaticola sp006954425,,anfO
204185,GB_GCA_013331215.1,anfO,DUGU01000033.1_14_A,3.7e-47,157.5,0.0,16,219,8390-9058,-1,0,DUGU01000033.1,14,1,anfO,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__UBA288;s__UBA288 sp11384u,,anfO
204186,GB_GCA_015062825.1,anfO,SUTR01000074.1_2_A,7.1e-06,22.4,1.3,1,111,1555-1896,-1,0,SUTR01000074.1,2,1,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera stadtmanae_A,,anfO
204187,GB_GCA_015063165.1,anfO,SUSZ01000024.1_13_A,1.2e-06,25.0,0.0,309,409,16922-18154,-1,0,SUSZ01000024.1,13,1,nifB,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoprimaticola;s__Methanoprimaticola sp015063165,,anfO
204188,GB_GCA_016284295.1,anfO,JAEEOP010000045.1_16_A,2.4e-09,33.5,0.0,304,409,11273-12505,-1,0,JAEEOP010000045.1,16,1,nifB,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoprimaticola;s__Methanoprimaticola sp016284295,,anfO
