,Genome,Contig,Nitrogenase Set,Position,Location,Group No,GTDB Taxonomy,ncbi_country,Isolation Source,NCBI Taxonomy,ncbi_taxonomy_unfiltered,Organism,Regulon,PredGrowthTemp
0,GB_GCA_000017645.1,CP000781.1,HDDKN,"90,91,92,93,94",96417-97298,Group 1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus;x__Xanthobacter autotrophicus Py2,Xanthobacter autotrophicus,,
1,GB_GCA_000155695.1,DS990592.1,HDKENN,"4252,4253,4254,4256,4257,4258",5269501-5270817,,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Pelagicoccus;s__Pelagicoccus sp000155695,none,none,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__;f__;g__;s__,d__Bacteria;x__PVC group;p__Verrucomicrobiota;c__Verrucomicrobiae;x__unclassified Verrucomicrobiae;s__Verrucomicrobiae bacterium DG1235,Pelagicoccus sp000155695,,
2,GB_GCA_000179315.1,ADZZ01000138.1,HDKEN,"15,18,19,20,21",11029-11853,Group 2,d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__Desulfatiglandaceae;g__NaphS2;s__NaphS2 sp000179315,none,none,d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__,d__Bacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;x__unclassified Deltaproteobacteria;s__delta proteobacterium NaphS2,NaphS2 sp000179315,,
3,GB_GCA_000214705.1,CP002770.1,HDKN,"3327,3328,3329,3333",3366963-3368351,,d__Bacteria;p__Bacillota_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Desulfovirgulaceae;g__Desulfofundulus;s__Desulfofundulus kuznetsovii,Georgia,underground thermal mineral water,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__Desulfofundulus;s__Desulfofundulus kuznetsovii,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__Desulfofundulus;s__Desulfofundulus kuznetsovii;x__Desulfofundulus kuznetsovii DSM 6115,Desulfofundulus kuznetsovii,,
4,GB_GCA_000242935.3,CP007053.1,HDK,"198,199,200",229158-229982,Group 2,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Geminisphaera;s__Geminisphaera sp000242935,none,none,d__Bacteria;p__Verrucomicrobiota;c__Opitutae;o__Opitutales;f__Opitutaceae;g__;s__,d__Bacteria;x__PVC group;p__Verrucomicrobiota;c__Opitutae;o__Opitutales;f__Opitutaceae;x__unclassified Opitutaceae;s__Opitutaceae bacterium TAV5,Geminisphaera sp000242935,,
5,GB_GCA_000244995.1,CM001438.1,HDKEN,"1000,1008,1009,1010,999",1108147-1109589,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__AHLZ01;s__AHLZ01 sp000244995,none,none,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__;g__;s__,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;x__unclassified Burkholderiales;s__Burkholderiales bacterium JOSHI_001,AHLZ01 sp000244995,,
6,GB_GCA_000306725.1,CP003083.1,HDKEN,"1272,1275,1276,1277,1278",1332090-1332911,Group 2,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,none,none,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus;x__Methanolobus psychrophilus R15,Methanolobus psychrophilus,,
7,GB_GCA_000307955.1,ALAO01000189.1,HDK,"10,12,15",19548-20936,,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Solidesulfovibrio;s__Solidesulfovibrio magneticus_A,Australia,sub-cultured for isolation from anaerobic microbial enrichment culture derived from a coal seam gas formation water sample,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Solidesulfovibrio;s__Solidesulfovibrio magneticus,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Solidesulfovibrio;s__Solidesulfovibrio magneticus;x__Solidesulfovibrio magneticus str. Maddingley MBC34,Solidesulfovibrio magneticus_A,,
8,GB_GCA_000309865.1,AMGN01000049.1,HDKEN,"12,6,7,8,9",10924-11751,Group 3,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865,Australia,sub-cultured for isolation from anaerobic microbial enrichment culture derived from a coal seam gas formation water sample,d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__,d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;x__unclassified Methanobacterium;s__Methanobacterium sp. Maddingley MBC34,Methanobacterium sp000309865,,
9,GB_GCA_000309945.1,CM001633.1,HDDKN,"4871,4872,4873,4875,4876",5423235-5424131,Group 1,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Leptolyngbyales;f__Leptolyngbyaceae;g__JSC-12;s__JSC-12 sp000309945,none,none,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Pseudanabaenales;f__Leptolyngbyaceae;g__;s__,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Pseudanabaenales;f__Leptolyngbyaceae;x__unclassified Leptolyngbyaceae;s__Leptolyngbyaceae cyanobacterium JSC-12,JSC-12 sp000309945,,
