GenomeID,Gene,Hit,E-value,Bit Score,Bias,Domain Start,Domain End,Location,Orientation,Flag_Bias,contig,pos_num,operon,top_hit,GTDB,Seq,residue_match
GB_GCA_000306725.1,nifK,CP003083.1_1275_A,8.8e-18,61.6,0.5,5,407,1333636-1335213,1,0,CP003083.1,1275,9,nifD,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,,nifK
GB_GCA_000306725.1,nifK,CP003083.1_1276_A,1.3000000000000002e-184,611.7,0.0,1,456,1335227-1336597,1,0,CP003083.1,1276,9,nifK,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,,nifK
GB_GCA_000306725.1,nifK,CP003083.1_1277_A,5.8e-33,111.6,1.1,19,443,1336629-1338131,1,0,CP003083.1,1277,9,nifE,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,,nifK
GB_GCA_000306725.1,nifK,CP003083.1_1278_A,2.3e-144,479.0,0.0,0,458,1338128-1339546,1,0,CP003083.1,1278,9,nifK,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,,nifK
GB_GCA_000309865.1,nifK,AMGN01000049.1_6_A,6e-155,513.6,0.0,3,472,3927-5357,-1,0,AMGN01000049.1,6,1,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865,,nifK
GB_GCA_000309865.1,nifK,AMGN01000049.1_7_A,5.2e-25,85.1,0.0,51,499,5358-7046,-1,0,AMGN01000049.1,7,1,nifE,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865,,nifK
GB_GCA_000309865.1,nifK,AMGN01000049.1_8_A,7.3e-168,556.2,0.0,1,462,7138-8526,-1,0,AMGN01000049.1,8,1,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865,,nifK
GB_GCA_000499765.1,nifK,HG425166.1_123_A,2.8999999999999998e-151,501.2,0.1,0,456,127509-128936,-1,0,HG425166.1,123,6,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765,,nifK
GB_GCA_000499765.1,nifK,HG425166.1_124_A,1.8000000000000002e-28,96.3,0.4,31,439,128929-130377,-1,0,HG425166.1,124,6,nifE,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765,,nifK
GB_GCA_000499765.1,nifK,HG425166.1_125_A,4.3000000000000005e-167,553.4,0.0,2,462,130550-131938,-1,0,HG425166.1,125,6,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765,,nifK
GB_GCA_000499765.1,nifK,HG425166.1_1142_A,3.7e-40,134.8,0.3,2,452,1139466-1140827,1,0,HG425166.1,1142,11,nifN,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765,,nifK
GB_GCA_001509375.1,nifK,LGFT01000081.1_4_A,3.2e-18,62.7,0.0,15,379,1929-3545,1,0,LGFT01000081.1,4,1,nifD,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanocrinis;s__Methanocrinis harundinacea_D,,nifK
GB_GCA_001509375.1,nifK,LGFT01000081.1_5_A,1.5e-178,591.5,0.0,1,452,3538-4896,1,0,LGFT01000081.1,5,1,nifK,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanocrinis;s__Methanocrinis harundinacea_D,,nifK
GB_GCA_001560915.1,nifK,CP014214.1_1509_A,7.2e-05,18.3,0.2,294,683,1592612-1594726,1,0,CP014214.1,1509,5,nifH,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp001560915,,nifK
GB_GCA_001602645.1,nifK,LUYE01000048.1_16_A,1e-129,430.5,0.0,0,437,18221-19537,-1,0,LUYE01000048.1,16,1,nifN,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanocrinis;s__Methanocrinis sp001602645,,nifK
GB_GCA_001602645.1,nifK,LUYE01000048.1_17_A,3.4e-26,89.1,0.0,26,432,19530-20975,-1,0,LUYE01000048.1,17,1,nifE,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanocrinis;s__Methanocrinis sp001602645,,nifK
GB_GCA_001602645.1,nifK,LUYE01000048.1_18_A,2.2e-174,577.8,0.0,1,452,20986-22344,-1,0,LUYE01000048.1,18,1,nifK,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanocrinis;s__Methanocrinis sp001602645,,nifK
GB_GCA_001602645.1,nifK,LUYE01000048.1_19_A,1.2e-17,60.9,0.1,14,379,22337-23953,-1,0,LUYE01000048.1,19,1,nifD,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanocrinis;s__Methanocrinis sp001602645,,nifK
GB_GCA_001602645.1,nifK,LUYE01000057.1_10_A,2.6e-22,76.3,0.0,39,432,7038-8603,1,0,LUYE01000057.1,10,1,nifN,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanocrinis;s__Methanocrinis sp001602645,,nifK
GB_GCA_001714685.2,nifK,MDTP02000079.1_20_A,7.299999999999999e-147,487.6,0.0,0,460,18817-20241,-1,0,MDTP02000079.1,20,1,nifN,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp001714685,,nifK
GB_GCA_001714685.2,nifK,MDTP02000079.1_21_A,8.499999999999999e-31,104.8,0.0,32,448,20238-21803,-1,0,MDTP02000079.1,21,1,nifE,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp001714685,,nifK
GB_GCA_001714685.2,nifK,MDTP02000079.1_22_A,8.799999999999999e-190,629.2,0.0,1,456,21946-23316,-1,0,MDTP02000079.1,22,1,nifK,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp001714685,,nifK
GB_GCA_001714685.2,nifK,MDTP02000079.1_23_A,1.4e-20,71.1,0.2,12,385,23330-24928,-1,0,MDTP02000079.1,23,1,nifD,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp001714685,,nifK
GB_GCA_002067065.1,nifK,MVPY01000087.1_11_A,2.9999999999999997e-149,494.9,0.1,0,450,7901-9313,-1,0,MVPY01000087.1,11,1,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp002067065,,nifK
