'Clostridium B ljungdahlii A | nif | RS GCF 001636845.1 | NZ LITT01000063.1 112'
'BOBG01 sp031276945 | nif | GB GCA 031276945.1 | JAISMB010000012.1 45'
'JAISZF01 sp031282635 | nif | GB GCA 031282635.1 | JAITDJ010000042.1 28'
'UBA8346 sp003501365 | nif | GB GCA 003501365.1 | DNPP01000131.1 19'
'Desulfosporosinus infrequens | nif | GB GCA 900290375.1 | OMOF01000013.1 32'
'Anaerocolumna sp023410275 | nif | GB GCA 023410275.1 | JAEYPZ010000075.1 41'
'JAEWCM01 sp023390635 | nif | GB GCA 023390635.1 | JAEWCM010000105.1 3'
'Endomicrobium proavitum | nif | RS GCF 001027545.1 | NZ CP009498.1 694'
'JAITOY01 sp031289775 | nif | GB GCA 031289775.1 | JAITOY010000057.1 13'
'JAITGK01 sp031280635 | nif | GB GCA 031280635.1 | JAITGK010000057.1 1'
'DFXE01 sp031255855 | nif | GB GCA 031255855.1 | JAIRRS010000098.1 10'
'Sinanaerobacter chloroacetimidivorans | nif | RS GCF 018128545.1 | NZ JAGSND010000013.1 66'
'JAAYPV01 sp023388515 | nif | GB GCA 023388515.1 | JAEWGD010000040.1 37'
'JAITLA01 sp031276135 | nif | GB GCA 031276135.1 | JAISNR010000192.1 2'
'JAISTV01 sp031272485 | nif | GB GCA 031272485.1 | JAISTV010000002.1 3'
'JAITHV01 sp031279835 | nif | GB GCA 031279835.1 | JAITHV010000062.1 5'
'JAIRXA01 sp031277035 | nif | GB GCA 031277035.1 | JAISLY010000061.1 1'
'JAISGJ01 sp031263105 | nif | GB GCA 031263105.1 | JAISGJ010000033.1 4'
'JAISUQ01 sp031272005 | nif | GB GCA 031272005.1 | JAISUQ010000178.1 13'
'JAITDU01 sp031282405 | nif | GB GCA 031282405.1 | JAITDU010000003.1 5'
