GenomeID,protein,contig,operon,cluster,Gene,Hit,E-value,Bit Score,Bias,Domain Start,Domain End,Location,Orientation,Flag_Bias,pos_num,top_hit,residue_match,GTDB
GB_GCA_000017645.1,CP000781.1_90,CP000781.1,1,nif,nifH,CP000781.1_90_A,5.2e-138,457.6,2.9,0,293,96417-97298,1,0,90,nifH,nifH,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus_E
GB_GCA_000017645.1,CP000781.1_91,CP000781.1,1,nif,nifD,CP000781.1_91_A,1.6999999999999999e-251,832.9,0.1,3,497,97375-98880,1,0,91,nifD,nifD,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus_E
GB_GCA_000017645.1,CP000781.1_92,CP000781.1,1,nif,nifK,CP000781.1_92_A,2.4e-236,783.2,0.0,0,519,98968-100527,1,0,92,nifK,nifK,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus_E
GB_GCA_000017645.1,CP000781.1_93,CP000781.1,1,nif,nifE,CP000781.1_93_A,2.8e-251,833.6,2.9,0,632,100648-102549,1,0,93,nifE,nifE,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus_E
GB_GCA_000017645.1,CP000781.1_94,CP000781.1,1,nif,nifN,CP000781.1_94_A,1.2e-201,668.3,0.0,0,471,102559-103986,1,0,94,nifN,nifN,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus_E
GB_GCA_000017645.1,CP000781.1_112,CP000781.1,2,nif,nifB,CP000781.1_112_A,3e-216,716.7,2.7,15,503,115938-117500,1,0,112,nifB,nifB,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus_E
GB_GCA_000023185.1,CP001622.1_2227,CP001622.1,2,nif,nifB,CP001622.1_2227_A,1.1e-05,22.7,0.2,22,235,2252144-2253190,1,0,2227,nifB,nifB,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium leguminosarum_J
GB_GCA_000023185.1,CP001623.1_276,CP001623.1,1,nif,nifB,CP001623.1_276_A,3.2999999999999996e-188,624.7,0.0,9,489,301314-302786,-1,0,276,nifB,nifB,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium leguminosarum_J
GB_GCA_000023185.1,CP001623.1_282,CP001623.1,2,nif,nifH,CP001623.1_282_A,1.1e-134,447.2,0.5,0,295,308462-309349,1,0,282,nifH,nifH,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium leguminosarum_J
GB_GCA_000023185.1,CP001623.1_283,CP001623.1,2,nif,nifD,CP001623.1_283_A,3.1e-238,789.6,0.0,0,497,309442-310953,1,0,283,nifD,nifD,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium leguminosarum_J
