,genome,contig,query_id,gene,start,end,orientation
0,GB_GCA_012031265.1,JAAUTY010000072.1,JAAUTY010000072.1_27,antC,21635.0,21934.0,1.0
1,GB_GCA_012031265.1,JAAUTY010000072.1,JAAUTY010000072.1_28,isiB,22175.0,22702.0,1.0
2,GB_GCA_012031265.1,JAAUTY010000072.1,JAAUTY010000072.1_16,nifH,10942.0,11820.0,1.0
3,GB_GCA_012031265.1,JAAUTY010000072.1,JAAUTY010000072.1_14,NFS1,8583.0,9785.0,1.0
4,GB_GCA_012031265.1,JAAUTY010000072.1,JAAUTY010000072.1_11,fdtC,4830.0,5570.0,-1.0
5,GB_GCA_012031265.1,JAAUTY010000072.1,JAAUTY010000072.1_13,hydA,8168.0,8539.0,1.0
6,GB_GCA_012031265.1,JAAUTY010000072.1,JAAUTY010000072.1_18,nifK,13560.0,15134.0,1.0
7,GB_GCA_012031265.1,JAAUTY010000072.1,JAAUTY010000072.1_20,nifE,15610.0,18465.0,1.0
8,GB_GCA_012031265.1,JAAUTY010000072.1,JAAUTY010000072.1_21,nifX,18502.0,18924.0,1.0
9,GB_GCA_012031265.1,JAAUTY010000072.1,JAAUTY010000072.1_25,moeB,20044.0,20847.0,1.0
10,GB_GCA_012031265.1,JAAUTY010000072.1,JAAUTY010000072.1_17,nifD,11965.0,13410.0,1.0
11,GB_GCA_012031265.1,JAAUTY010000072.1,JAAUTY010000072.1_9,bfr,3743.0,4300.0,-1.0
12,GB_GCA_012031265.1,JAAUTY010000072.1,JAAUTY010000072.1_12,nifB,6681.0,8126.0,1.0
0,RS_GCF_003013815.1,NZ_PRLH01000006.1,NZ_PRLH01000006.1_36,antC,31185.0,31526.0,1.0
1,RS_GCF_003013815.1,NZ_PRLH01000006.1,NZ_PRLH01000006.1_24,cfbC,20238.0,21110.0,1.0
2,RS_GCF_003013815.1,NZ_PRLH01000006.1,NZ_PRLH01000006.1_22,NFS1,17626.0,18831.0,1.0
3,RS_GCF_003013815.1,NZ_PRLH01000006.1,NZ_PRLH01000006.1_18,qdtC,13802.0,14512.0,-1.0
4,RS_GCF_003013815.1,NZ_PRLH01000006.1,NZ_PRLH01000006.1_35,J1R,30726.0,31085.0,1.0
5,RS_GCF_003013815.1,NZ_PRLH01000006.1,NZ_PRLH01000006.1_26,nifK,22944.0,24479.0,1.0
6,RS_GCF_003013815.1,NZ_PRLH01000006.1,NZ_PRLH01000006.1_28,nifE,25073.0,26491.0,1.0
7,RS_GCF_003013815.1,NZ_PRLH01000006.1,NZ_PRLH01000006.1_21,hydA,17170.0,17532.0,1.0
8,RS_GCF_003013815.1,NZ_PRLH01000006.1,NZ_PRLH01000006.1_25,nifD,21321.0,22763.0,1.0
9,RS_GCF_003013815.1,NZ_PRLH01000006.1,NZ_PRLH01000006.1_29,nifN,26593.0,27957.0,1.0
10,RS_GCF_003013815.1,NZ_PRLH01000006.1,NZ_PRLH01000006.1_19,nifB,15472.0,16947.0,1.0
0,RS_GCF_935825525.1,NZ_CAKXZT010000116.1,NZ_CAKXZT010000116.1_78,prxII,88279.0,88812.0,-1.0
