'PALSA-1353 sp963783845 | nif | GB GCA 963783845.1 | CAWAPL010000015.1 16'
'UBA8346 sp023435225 | nif | GB GCA 023435225.1 | JAEYRX010000032.1 46'
'GWF2-39-127 sp003242895 | nif | GB GCA 003242895.1 | QKMY01000053.1 32'
'UBA8346 sp023415375 | nif | GB GCA 023415375.1 | JAEZKW010000013.1 6'
'CSBR16-88 sp007116145 | nif | GB GCA 007116145.1 | SKJB01000067.1 16'
'JAEYPR01 sp023410535 | nif | GB GCA 023410535.1 | JAEYPR010000010.1 237'
'Pontiella sp003246265 | nif | GB GCA 003246265.1 | QKAU01000017.1 72'
'UBA10428 sp024640925 | nif | GB GCA 024640925.1 | JAHEEB010000338.1 1'
'JAIFLP01 sp020049015 | nif | GB GCA 020049015.1 | JAIFLP010000130.1 19'
'Mucilaginibacter sp044448725 | nif | GB GCA 044448725.1 | JBIOHE010000044.1 1'
'CAXXIC01 sp049315325 | nif | GB GCA 049315325.1 | JBMOKJ010000003.1 87'
'JAKPQD01 sp029572965 | nif | GB GCA 035374585.1 | DAOSPF010000001.1 74'
'JAAUTT01 sp020048915 | nif | GB GCA 020048915.1 | JAIFLU010000191.1 10'
'UBA5072 sp964615995 | nif | GB GCA 964615995.1 | CAZTSR010000009.1 68'
'CAZAMT01 sp964486145 | nif | GB GCA 964486145.1 | CAZAMT010000048.1 3'
'CAZSGN01 sp964606415 | nif | GB GCA 964606415.1 | CAZSGN010000078.1 6'
'JAAAOM01 sp009908855 | nif | GB GCA 009908855.1 | JAAAOM010000072.1 2'
'Lutibacter holmesii | nif | RS GCF 042679665.1 | NZ JBHTMV010000009.1 141'
'JAQICB01 sp964558075 | nif | GB GCA 964558075.1 | CAZLCY010000015.1 15'
'JBFZEO01 sp041306845 | nif | GB GCA 041306845.1 | JBFZEO010000213.1 7'
'JAFGPL01 sp046485045 | nif | GB GCA 046485045.1 | JAWOHT010000147.1 7'
'JAAUTT01 sp036261135 | nif | GB GCA 036261135.1 | DATALJ010000044.1 25'
'JAAUTT01 sp023429135 | nif | GB GCA 023429135.1 | JAEYWD010000008.1 209'
'MFD09286-c1 sp963701015 | nif | GB GCA 963701015.1 | OY969556.1 2760'
'Bog-1181 sp003159495 | nif | GB GCA 003159495.1 | PLPI01000144.1 14'
'Paludibacter sp964389115 | nif | GB GCA 964389115.1 | CAYMDE010000039.1 12'
'Natronoflexus saponilacus | nif | RS GCF 900168165.1 | NZ FUYV01000010.1 58'
'CAZHHH01 sp052400685 | nif | GB GCA 052400685.1 | JBQTGJ010000004.1 143'
'Paludibacter sp038329115 | nif | GB GCA 038329115.1 | JBBQMQ010000089.1 7'
'Azobacteroides pseudotrichonymphae A | nif | GB GCA 002091395.1 | AP017913.1 201'
'Prevotella cerevisiae | nif | RS GCF 024054555.1 | NZ JAMXLY010000014.1 1'
'Prevotella sp036752365 | nif | GB GCA 036752365.1 | DAIOSW010000032.1 17'
'JBPRGG01 sp051418075 | nif | GB GCA 051418075.1 | JBPRGG010000127.1 77'
'SLAA01 sp003564775 | nif | GB GCA 003564775.1 | PXEI01000352.1 7'
'CAYFVL01 sp964513105 | nif | GB GCA 964513105.1 | CAZEMW010000317.1 1'
'CAMDBI01 sp945889005 | nif | GB GCA 945889005.1 | CAMDBI010000027.1 26'
'CAIYQO01 sp038215455 | nif | GB GCA 038215455.1 | JBBQQW010000066.1 3'
'CAIRAY01 sp035470605 | nif | GB GCA 035470605.1 | DATIQS010000405.1 1'
'JAADGP01 sp027021785 | nif | GB GCA 027021785.1 | JALUTR010000086.1 24'
'JBNKYI01 sp050300815 | nif | GB GCA 050300815.1 | JBNKYI010000123.1 2'
'JAFGJZ01 sp016928815 | nif | GB GCA 016928815.1 | JAFGJZ010000012.1 34'
'JAIORP01 sp021108075 | nif | GB GCA 021108075.1 | JAIORP010000047.1 28'
'JAGLHV01 sp030595925 | nif | GB GCA 030595925.1 | JAUVLC010000007.1 24'
'CBDVEP01 sp965373035 | nif | GB GCA 965373035.1 | CBDVEP010000001.1 50'
'VRUG01 sp965372745 | nif | GB GCA 965372745.1 | CBDVDM010000029.1 1'
'JAFGQL01 sp016935695 | nif | GB GCA 016935695.1 | JAFGQL010000107.1 6'
'JAFGXT01 sp016936495 | nif | GB GCA 016936495.1 | JAFGXT010000019.1 4'
'Spirochaeta F isovalerica | nif | RS GCF 014207565.1 | NZ JACHGJ010000002.1 799'
'JADFWS01 sp015234065 | nif | GB GCA 015234065.1 | JADFWS010000059.1 8'
'NBLH01 sp050291445 | nif | GB GCA 050291445.1 | JBNKJW010000092.1 37'
'LD21 sp036261255 | nif | GB GCA 036261255.1 | DATALD010000005.1 20'
'JBGSOB01 sp041739325 | nif | GB GCA 041739325.1 | JBGSOB010000100.1 47'
