'JAGRBY01 sp937864185|wastewater metagenome|GB GCA 937864185.1|CALMIS010000306.1 10'
'J25 sp004343725|hot spring|RS GCF 004343725.1|NZ PTQW01000022.1 86'
'JAEXTK01 sp023406985|feces|GB GCA 023406985.1|JAEXTK010000206.1 1'
'SZUA-426 sp003245635|marine hydrothermal sulfide sediment TVG12|GB GCA 003245635.1|QKCO01000110.1 8'
'Moduliflexus flocculans|population genome bin extracted from metagenomes of a methanogenic wastewater treatment sludge|GB GCA 000739515.1|DF820458.1 517'
'JAGLMY01 sp023139775|cold seep|GB GCA 030637655.1|DAOWGI010000087.1 35'
'JAHIVH01 sp018816735|Aspo HRL|GB GCA 018816735.1|JAHIVH010000061.1 307'
'JAABSP01 sp011390345|Tibetan lacustrine sediment|GB GCA 011390345.1|JAABSP010000032.1 8'
'SKZT01 sp011389745|Tibetan lacustrine sediment|GB GCA 011389745.1|JAABTQ010000009.1 31'
'Fundidesulfovibrio magnetotacticus|none|RS GCF 013019105.1|NZ BLTE01000002.1 222'
'Spirochaeta A thermophila A|none|RS GCF 000147075.1|NC 014484.1 350'
'GWE2-31-10 sp001829315|Rifle well CD01 at time point 5 / E  5m depth  0.1 filter|GB GCA 001829315.1|MIAY01000010.1 75'
'GWB1-36-13 sp001829155|Rifle well CD01 at time point 2 / B  5m depth  0.1 filter|GB GCA 001829155.1|MIAO01000074.1 30'
'JAGVOW01 sp020052515|fracture fluid|GB GCA 020052515.1|JAGVOW010000060.1 27'
'Smithella sp003139775|permafrost active layer soil|GB GCA 003139775.1|PLGI01000198.1 18'
'BOG-1155 sp002067405|Lab-scale methanogenic bioreactor treating purified terephthalic acid process wastewater|GB GCA 002067405.1|MVRP01000108.1 7'
'UBA5550 sp002418835|waste water|GB GCA 002418835.1|DIEX01000030.1 48'
'LD21 sp029564935|mesophilic anaerobic digester|GB GCA 029564935.1|JAKQPD010000225.1 1'
'JAEWVL01 sp023396665|feces|GB GCA 023396665.1|JAEWVL010000484.1 5'
'Sphaerochaeta sp003247345|marine hydrothermal sulfide sediment TVG12|GB GCA 003247345.1|QJZS01000199.1 1'
'JAITPE01 sp031289575|termite gut|GB GCA 031289575.1|JAITPE010000027.1 1'
'Treponema D sp023231445|leachate from a composite leachate cistern at an active municipal landfill in Southern Ontario|GB GCA 023231445.1|JALNVF010000039.1 7'
'Teretinema sp029571425|mesophilic anaerobic digester|GB GCA 029571425.1|JAKPSR010000432.1 2'
'BOG-1184 sp003164335|permafrost active layer soil|GB GCA 003164335.1|PLTF01000063.1 40'
'JAAZBG01 sp023459055|feces|GB GCA 023459055.1|JAEWVR010000012.1 26'
'PGYV01 sp016937715|freshwater|GB GCA 016937715.1|JAFGWA010000028.1 15'
'GWC1-27-15 sp001829125|Rifle well CD01 at time point 2 / B  5m depth  0.1 filter|GB GCA 001829125.1|MIAN01000268.1 24'
'JADGBH01 sp015231595|sediments|GB GCA 015231595.1|JADGBH010000045.1 11'
'0-14-0-80-60-11 sp023381945|Fankou acid mine drainage sediment Core A|GB GCA 023381945.1|JAMCQY010000369.1 27'
'SbD1 sp003165235|permafrost active layer soil|GB GCA 003165235.1|PLSV01000141.1 133'
'SbD1 sp031292215|bioreactor inoculated with peat from an acidic fen and consecutively exposed to oxic and anoxic cycles|GB GCA 031292215.1|JARLHO010000125.1 1'
'SbD1 sp900290365|none|GB GCA 900290365.1|OMOE01000136.1 19'
'JAAYUJ01 sp012517315|anaerobic digestion of organic wastes under variable temperature conditions and feedstocks|GB GCA 012517315.1|JAAYVE010000057.1 13'
'Desulfomonile tiedjei A|groundwater|GB GCA 016212935.1|JACRDE010000486.1 5'
'RAAP-1 sp001443525|100% of the reads came from bioreactor sample SAMN04151528|GB GCA 001443525.1|LKPX01000013.1 58'
'JAEZKC01 sp023436205|feces|GB GCA 023436205.1|JAEZKC010000002.1 107'
'UBA6262 sp016218565|groundwater|GB GCA 016218565.1|JACRDM010000046.1 13'
'Desulfonatronospira thiodismutans|sediment from a highly alkaline saline soda lake on the Kulunda Steppe|RS GCF 000174435.1|NZ ACJN02000001.1 320'
'Desulfonatronovibrio magnus|none|RS GCF 000934755.1|NZ KN882176.1 59'
'Deferrisoma camini|not provided  submitted under MIGS 2.1|RS GCF 000526155.1|NZ JAFN01000001.1 2219'
'BM512 sp002869015|enrichment from estuary sediment|GB GCA 002869015.1|PKTT01000037.1 25'
'SCTA01 sp009724975|enrichment of ferruginous lake sediment|GB GCA 009724975.1|SRXB01000010.1 4'
'S012-135 sp015488275|deep-sea hydrothermal deposit|GB GCA 015488275.1|WFOD01000145.1 9'
'JAADIV01 sp013151175|Deepsea hydrothermal sulfide chimney|GB GCA 013151175.1|JAADIV010000184.1 7'
'S143-34 sp024275145|active black smoker DFF12|GB GCA 024275145.1|JAJRZR010000108.1 30'
'Dissulfuribacter thermophilus|none|RS GCF 001687335.1|NZ MAGO01000009.1 83'
'UBA5754 sp002419025|waste water|GB GCA 002419025.1|DIFG01000025.1 3'
'Dissulfurimicrobium hydrothermale|ENVO 01001821|RS GCF 022026155.1|NZ CP085041.1 1866'
'Desulfomonile tiedjei|sewage sludge|RS GCF 000266945.1|NC 018025.1 5444'
'CAITZA01 sp937930835|metagenome|GB GCA 937930835.1|CALGLN010000124.1 27'
'Thermosulfuriphilus ammonigenes|deep-sea hydrothermal vent|RS GCF 011207455.1|NZ CP048877.1 540'
'UBA3076 sp030618205|cold seep|GB GCA 030618205.1|JAUXDR010000106.1 1'
'Desulfacinum infernum|none|RS GCF 900129305.1|NZ FQVB01000048.1 6'
'JAHLLK01 sp020444165|river sediment|GB GCA 020444165.1|JAHLLK010000028.1 38'
'JASGMV01 sp030156255|produced fluids from hydraulically fractured shales DJB-3 day 1472|GB GCA 030156255.1|JASGMV010000058.1 1'
'PCC-9228 sp001870905|water|RS GCF 001870905.1|NZ LNDC01000078.1 33'
'Nostoc sp026127265|symbiotic organs of the hepatic Blasia pusilla L.|RS GCF 026127265.1|NZ WWFG01000002.1 284'
'Coleofasciculus chthonoplastes|none|RS GCF 000155555.1|NZ DS989843.1 36'
'Roseofilum sp002340255|coral mucus|GB GCA 002340255.1|DDLS01000181.1 16'
