GenomeID,contig,operon,cluster,Nitrogenase Set,Location_start,Location_end,Orientation,pos_num,GTDB Taxonomy,ncbi_country,Isolation Source,NCBI Taxonomy,ncbi_taxonomy_unfiltered,Organism,Regulon,Operon,Group No
GB_GCA_000017645.1,CP000781.1,1,nif,"E, N, H, D, K",96417,103986,1,"[93, 94, 90, 91, 92]",d_Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus_E,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus,d__Bacteria;x__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus;x__Xanthobacter autotrophicus Py2,Xanthobacter autotrophicus_E,,,
GB_GCA_000017645.1,CP000781.1,2,nif,B,115938,117500,1,[112],d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus_E,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus,d__Bacteria;x__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus;x__Xanthobacter autotrophicus Py2,Xanthobacter autotrophicus_E,,,
GB_GCA_000023185.1,CP001622.1,1,nif,B,2252144,2253190,1,[2227],d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium leguminosarum_J,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium leguminosarum,d__Bacteria;x__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;x__Rhizobium/Agrobacterium group;g__Rhizobium;s__Rhizobium leguminosarum;x__Rhizobium leguminosarum bv. trifolii;x__Rhizobium leguminosarum bv. trifolii WSM1325,Rhizobium leguminosarum_J,,,
GB_GCA_000023185.1,CP001623.1,1,nif,B,301314,302786,-1,[276],d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium leguminosarum_J,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium leguminosarum,d__Bacteria;x__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;x__Rhizobium/Agrobacterium group;g__Rhizobium;s__Rhizobium leguminosarum;x__Rhizobium leguminosarum bv. trifolii;x__Rhizobium leguminosarum bv. trifolii WSM1325,Rhizobium leguminosarum_J,,,
GB_GCA_000023185.1,CP001623.1,2,nif,"H, D, K, E, N",308462,315396,1,"[282, 283, 284, 285, 286]",d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium leguminosarum_J,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium leguminosarum,d__Bacteria;x__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;x__Rhizobium/Agrobacterium group;g__Rhizobium;s__Rhizobium leguminosarum;x__Rhizobium leguminosarum bv. trifolii;x__Rhizobium leguminosarum bv. trifolii WSM1325,Rhizobium leguminosarum_J,,,
GB_GCA_000152145.1,GL501401.1,1,nif,"H, K, D, B",7048,11696,-1,"[8, 5, 6, 7]",d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__Oscillochloris;s__Oscillochloris trichoides,none,none,d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Oscillochloridaceae;g__Oscillochloris;s__Oscillochloris trichoides,d__Bacteria;x__Bacillati;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;x__Chloroflexineae;f__Oscillochloridaceae;g__Oscillochloris;s__Oscillochloris trichoides;x__Oscillochloris trichoides DG-6,Oscillochloris trichoides,,,
GB_GCA_000155695.1,DS990592.1,2,nif,"B, N, E, K, D, H",5269501,5278450,-1,"[4252, 4253, 4254, 4256, 4257, 4258]",d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Opitutales;f__Opitutaceae;g__Pelagicoccus;s__Pelagicoccus sp000155695,none,none,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__;f__;g__;s__,d__Bacteria;x__Pseudomonadati;x__PVC group;p__Verrucomicrobiota;c__Verrucomicrobiia;x__unclassified Verrucomicrobiia;s__Verrucomicrobiia bacterium DG1235,Pelagicoccus sp000155695,,,
GB_GCA_000179315.1,ADZZ01000138.1,1,nif,"H, D, K, E, N, B",11029,19750,1,"[15, 18, 19, 20, 21, 22]",d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__Desulfatiglandaceae;g__NaphS2;s__NaphS2 sp000179315,none,none,d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__,d__Bacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;x__unclassified Deltaproteobacteria;s__delta proteobacterium NaphS2,NaphS2 sp000179315,,,
GB_GCA_000242935.3,CP007053.1,1,nif,B,324227,325558,-1,[257],d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Opitutales;f__Opitutaceae;g__Geminisphaera;s__Geminisphaera sp000242935,none,none,d__Bacteria;p__Verrucomicrobiota;c__Opitutia;o__Opitutales;f__Opitutaceae;g__;s__,d__Bacteria;x__Pseudomonadati;x__PVC group;p__Verrucomicrobiota;c__Opitutia;o__Opitutales;f__Opitutaceae;x__unclassified Opitutaceae;s__Opitutaceae bacterium TAV5,Geminisphaera sp000242935,,,
GB_GCA_000242935.3,CP007053.1,3,nif,"H, D, K",229158,233555,1,"[198, 199, 200]",d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Opitutales;f__Opitutaceae;g__Geminisphaera;s__Geminisphaera sp000242935,none,none,d__Bacteria;p__Verrucomicrobiota;c__Opitutia;o__Opitutales;f__Opitutaceae;g__;s__,d__Bacteria;x__Pseudomonadati;x__PVC group;p__Verrucomicrobiota;c__Opitutia;o__Opitutales;f__Opitutaceae;x__unclassified Opitutaceae;s__Opitutaceae bacterium TAV5,Geminisphaera sp000242935,,,
GB_GCA_000242935.3,CP007053.1,5,anf,"H, D, G, K, O",327205,333725,1,"[259, 260, 261, 262, 265]",d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Opitutales;f__Opitutaceae;g__Geminisphaera;s__Geminisphaera sp000242935,none,none,d__Bacteria;p__Verrucomicrobiota;c__Opitutia;o__Opitutales;f__Opitutaceae;g__;s__,d__Bacteria;x__Pseudomonadati;x__PVC group;p__Verrucomicrobiota;c__Opitutia;o__Opitutales;f__Opitutaceae;x__unclassified Opitutaceae;s__Opitutaceae bacterium TAV5,Geminisphaera sp000242935,,,
GB_GCA_000244995.1,CM001438.1,1,nif,"N, E, K, D, H",1106280,1118754,-1,"[999, 1000, 1008, 1009, 1010]",d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_C;g__AHLZ01;s__AHLZ01 sp000244995,none,none,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__;g__;s__,d__Bacteria;x__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;x__unclassified Burkholderiales;s__Burkholderiales bacterium JOSHI_001,AHLZ01 sp000244995,,,
GB_GCA_000244995.1,CM001438.1,2,nif,B,1133957,1135543,-1,[1035],d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_C;g__AHLZ01;s__AHLZ01 sp000244995,none,none,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__;g__;s__,d__Bacteria;x__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;x__unclassified Burkholderiales;s__Burkholderiales bacterium JOSHI_001,AHLZ01 sp000244995,,,
GB_GCA_000306725.1,CP003083.1,8,nif,"H, D, K, E, K",1332090,1339546,1,"[1272, 1275, 1276, 1277, 1278]",d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,none,none,d__Archaea;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,d__Archaea;x__Methanobacteriati;p__Methanobacteriota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus;x__Methanolobus psychrophilus R15,Methanolobus psychrophilus,,,
GB_GCA_000306725.1,CP003083.1,10,nif,B,2251703,2252638,1,[2196],d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,none,none,d__Archaea;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,d__Archaea;x__Methanobacteriati;p__Methanobacteriota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus;x__Methanolobus psychrophilus R15,Methanolobus psychrophilus,,,
