,GenomeID,Gene,Hit,E-value,Bit Score,Bias,Domain Start,Domain End,Location,Orientation,Flag_Bias,contig,pos_num,operon,top_hit,GTDB,Seq,residue_match
0,GB_GCA_000306725.1,nifH,CP003083.1_1272_A,1.9e-143,475.5,1.4,0,273,1332090-1332911,1,0,CP003083.1,1272,8,nifH,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,,nifH
1,GB_GCA_000309865.1,nifH,AMGN01000049.1_12_A,8.499999999999999e-139,459.9,7.7,0,275,10924-11751,-1,0,AMGN01000049.1,12,1,nifH,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865,,nifH
2,GB_GCA_000499765.1,nifH,HG425166.1_129_A,3e-140,464.4,7.8,0,276,134248-135078,-1,0,HG425166.1,129,6,nifH,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765,,nifH
3,GB_GCA_000499765.1,nifH,HG425166.1_1143_A,1.1e-123,410.0,0.6,0,290,1141092-1141970,1,0,HG425166.1,1143,11,nifH,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765,,nifH
4,GB_GCA_001412335.1,nifH,LKUF01000445.1_17_A,4.500000000000001e-130,431.3,0.3,0,271,14796-15614,1,0,LKUF01000445.1,17,1,nifH,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__SD8;s__SD8 sp001412335,,nifH
5,GB_GCA_001412355.1,nifH,LKUD01000004.1_43_A,9.6e-127,420.1,0.1,0,270,37069-37881,-1,0,LKUD01000004.1,43,1,nifH,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__LKUD01;s__LKUD01 sp001412355,,nifH
7,GB_GCA_001509375.1,nifH,LGFT01000025.1_50_A,5.2e-117,388.3,1.1,0,256,47805-48584,1,0,LGFT01000025.1,50,2,nifH,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanocrinis;s__Methanocrinis harundinacea_D,,nifH
8,GB_GCA_001509375.1,nifH,LGFT01000081.1_1_A,9.2e-143,473.0,3.5,0,271,435-1250,1,0,LGFT01000081.1,1,1,nifH,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanocrinis;s__Methanocrinis harundinacea_D,,nifH
9,GB_GCA_001512375.1,nifH,LFRN01000005.1_18_A,4.7e-128,424.6,0.1,0,271,16880-17698,-1,0,LFRN01000005.1,18,1,nifH,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__Methanoculleus thermohydrogenotrophicum,,nifH
10,GB_GCA_001560915.1,nifH,CP014214.1_1293_A,3.7e-114,378.5,0.0,0,352,1374160-1375608,-1,0,CP014214.1,1293,1,nifH,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp001560915,,nifH
