GenomeID,contig,operon,cluster,Nitrogenase Set,Location_start,Location_end,Orientation,pos_num,GTDB Taxonomy,ncbi_country,Isolation Source,NCBI Taxonomy,ncbi_taxonomy_unfiltered,Organism,Regulon,Operon,Group No
GB_GCA_000017645.1,CP000781.1,1,nif,"nifE, nifN, nifH, nifD, nifK",96417,103986,1,"[93, 94, 90, 91, 92]",d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus_E,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus,d__Bacteria;x__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus;x__Xanthobacter autotrophicus Py2,Xanthobacter autotrophicus_E,,,
GB_GCA_000017645.1,CP000781.1,2,nif,nifB,115938,117500,1,[112],d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus_E,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus,d__Bacteria;x__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus;x__Xanthobacter autotrophicus Py2,Xanthobacter autotrophicus_E,,,
GB_GCA_000023185.1,CP001622.1,2,nif,nifB,2252144,2253190,1,[2227],d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium leguminosarum_J,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium leguminosarum,d__Bacteria;x__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;x__Rhizobium/Agrobacterium group;g__Rhizobium;s__Rhizobium leguminosarum;x__Rhizobium leguminosarum bv. trifolii;x__Rhizobium leguminosarum bv. trifolii WSM1325,Rhizobium leguminosarum_J,,,
GB_GCA_000023185.1,CP001623.1,1,nif,nifB,301314,302786,-1,[276],d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium leguminosarum_J,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium leguminosarum,d__Bacteria;x__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;x__Rhizobium/Agrobacterium group;g__Rhizobium;s__Rhizobium leguminosarum;x__Rhizobium leguminosarum bv. trifolii;x__Rhizobium leguminosarum bv. trifolii WSM1325,Rhizobium leguminosarum_J,,,
GB_GCA_000023185.1,CP001623.1,2,nif,"nifH, nifD, nifK, nifE, nifN",308462,315396,1,"[282, 283, 284, 285, 286]",d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium leguminosarum_J,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium leguminosarum,d__Bacteria;x__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;x__Rhizobium/Agrobacterium group;g__Rhizobium;s__Rhizobium leguminosarum;x__Rhizobium leguminosarum bv. trifolii;x__Rhizobium leguminosarum bv. trifolii WSM1325,Rhizobium leguminosarum_J,,,
GB_GCA_000152145.1,GL501401.1,1,nif,"nifH, nifK, nifD, nifB",7048,11696,-1,"[8, 5, 6, 7]",d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__Oscillochloris;s__Oscillochloris trichoides,none,none,d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Oscillochloridaceae;g__Oscillochloris;s__Oscillochloris trichoides,d__Bacteria;x__Bacillati;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;x__Chloroflexineae;f__Oscillochloridaceae;g__Oscillochloris;s__Oscillochloris trichoides;x__Oscillochloris trichoides DG-6,Oscillochloris trichoides,,,
GB_GCA_000155695.1,DS990592.1,1,nif,"nifB, nifN, nifE, nifK, nifD, nifH",5269501,5278450,-1,"[4252, 4253, 4254, 4256, 4257, 4258]",d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Opitutales;f__Opitutaceae;g__Pelagicoccus;s__Pelagicoccus sp000155695,none,none,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__;f__;g__;s__,d__Bacteria;x__Pseudomonadati;x__PVC group;p__Verrucomicrobiota;c__Verrucomicrobiia;x__unclassified Verrucomicrobiia;s__Verrucomicrobiia bacterium DG1235,Pelagicoccus sp000155695,,,
GB_GCA_000174895.1,ACOK01000116.1,1,nif,"nifH, nifB",51241,53082,-1,"[47, 48]",d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus flavefaciens_A,none,rumen pill,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus flavefaciens,d__Bacteria;x__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus flavefaciens;x__Ruminococcus flavefaciens FD-1,Ruminococcus flavefaciens_A,,,
GB_GCA_000179315.1,ADZZ01000138.1,1,nif,"nifH, nifD, nifK, nifE, nifN, nifB",11029,19750,1,"[15, 18, 19, 20, 21, 22]",d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__Desulfatiglandaceae;g__NaphS2;s__NaphS2 sp000179315,none,none,d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__,d__Bacteria;x__delta/epsilon subdivisions;c__Deltaproteobacteria;x__unclassified Deltaproteobacteria;s__delta proteobacterium NaphS2,NaphS2 sp000179315,,,
GB_GCA_000242935.3,CP007053.1,1,nif,nifB,324227,325558,-1,[257],d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Opitutales;f__Opitutaceae;g__Geminisphaera;s__Geminisphaera sp000242935,none,none,d__Bacteria;p__Verrucomicrobiota;c__Opitutia;o__Opitutales;f__Opitutaceae;g__;s__,d__Bacteria;x__Pseudomonadati;x__PVC group;p__Verrucomicrobiota;c__Opitutia;o__Opitutales;f__Opitutaceae;x__unclassified Opitutaceae;s__Opitutaceae bacterium TAV5,Geminisphaera sp000242935,,,
