'Methanoperedens sp012026835|AOM-Mn bioreactor day 405|GB GCA 012026835.1|VEPN01000001.1 12'
'SCADC1-2-3 sp003445555|terrestrial|GB GCA 003445555.1|DMDI01000155.1 4'
'UBA349 sp023249725|groundwater|GB GCA 023249725.1|JAHFBZ010000078.1 7'
'Methanobacterium D sp023436175|feces|GB GCA 023436175.1|JAEZKE010000018.1 31'
'Methanobacterium F sp019084405|groundwater|GB GCA 019084405.1|JAHRFX010000110.1 81'
'Methanobrevibacter A sp017460025|ruminant gastrointestinal tract|GB GCA 017460025.1|JAFUBV010000177.1 1'
'Methanosphaera stadtmanae A|feces|GB GCA 015062825.1|SUTR01000003.1 74'
'Methanobrevibacter B sp002208625|rumen|RS GCF 002208625.1|NZ MRCT01000071.1 6'
'Methanobacterium sp016217785|groundwater|RS GCF 016217785.1|NZ JACRGA010000027.1 68'
'Methanobacterium B sp023430285|feces|GB GCA 023430285.1|JAEZAV010000103.1 5'
'Methanobacterium B sp003151535|permafrost active layer soil|GB GCA 003151535.1|PLXT01000078.1 8'
'Methanobacterium B sp003164415|permafrost active layer soil|GB GCA 003164415.1|PLTK01000099.1 1'
'Methanothrix sp028679775|freshwater wetland soil|GB GCA 028679775.1|JAJRAX010000153.1 5'
'Methanobrevibacter E filiformis|termite hindguts|RS GCF 001639265.1|NZ LWMT01000264.1 9'
'Methanobrevibacter C sp031261945|termite gut|GB GCA 031261945.1|JAISIQ010000013.1 7'
'JAITXE01 sp031282205|termite gut|GB GCA 031282205.1|JAITEE010000014.1 11'
'JAITXE01 sp031284445|termite gut|GB GCA 031284445.1|JAISZW010000069.1 1'
'Methanocella A sp023436075|feces|GB GCA 023436075.1|JAEZKS010000250.1 8'
'Methanoculleus thermophilus|none|RS GCF 001571405.1|NZ BCNX01000007.1 244'
'Methanospirillum lacunae|soil|RS GCF 003173355.1|NZ QGMY01000009.1 81'
'Methanolobus chelungpuianus|a sandstone sample at 545 m below land surface|RS GCF 024500045.1|NZ JTEO01000006.1 247'
'Methanosarcina thermophila|none|RS GCF 000969885.1|NZ CP009501.1 94'
'Methanosarcina sp002505485|AM-anode biofilm|RS GCF 002505485.1|NZ DAVG01000122.1 12'
