,hit,contig,score
GB_GCA_001563305.1,CP013703.1_1244_A,CP013703.1_1244,0
GB_GCA_003164755.1,PLUB01000010.1_90_A,PLUB01000010.1_90,0
GB_GCA_015063165.1,SUSZ01000024.1_13_A,SUSZ01000024.1_13,0
GB_GCA_019262145.1,CP076745.1_345_A,CP076745.1_345,0
GB_GCA_025350045.1,JANXYM010000106.1_10_A,JANXYM010000106.1_10,0
GB_GCA_030168595.1,CP115556.1_691_B,CP115556.1_691,0
GB_GCA_031288985.1,JAITQH010000006.1_7_A,JAITQH010000006.1_7,0
GB_GCA_035561295.1,DATMXW010000137.1_31_A,DATMXW010000137.1_31,0
GB_GCA_041645435.1,JBAZQB010000006.1_206_A,JBAZQB010000006.1_206,0
GB_GCA_050014375.1,JBEKDM010000014.1_6_A,JBEKDM010000014.1_6,0
GB_GCA_944320495.1,CALUHR010000011.1_2_A,CALUHR010000011.1_2,0
GB_GCA_963631655.1,CAVGRR010000110.1_2_A,CAVGRR010000110.1_2,0
GB_GCA_963662735.1,OY759744.1_517_A,OY759744.1_517,0
GB_GCA_963676675.2,OY781161.1_1111_A,OY781161.1_1111,0
GB_GCA_963738255.1,CAVTVW010000004.1_479_A,CAVTVW010000004.1_479,0
GB_GCA_963790005.1,CAWBMY010000005.1_2_A,CAWBMY010000005.1_2,0
GB_GCA_964409915.1,CAYPEQ010000003.1_47_A,CAYPEQ010000003.1_47,0
GB_GCA_964548585.1,CAZJRS010000106.1_4_A,CAZJRS010000106.1_4,0
GB_GCA_965229365.1,OZ245878.1_1280_A,OZ245878.1_1280,0
RS_GCF_000024185.1,NC_013790.1_461_A,NC_013790.1_461,0
RS_GCF_000621965.1,NZ_KK211375.1_122_A,NZ_KK211375.1_122,0
RS_GCF_003268005.1,NZ_CP014213.1_1853_A,NZ_CP014213.1_1853,0
RS_GCF_018502485.1,NZ_CP075546.1_1942_A,NZ_CP075546.1_1942,0
RS_GCF_028679125.1,NZ_JAJRCG010000012.1_5_A,NZ_JAJRCG010000012.1_5,0
RS_GCF_035543475.1,NZ_DATKKA010000022.1_13_A,NZ_DATKKA010000022.1_13,0
RS_GCF_049518935.1,NZ_JBEKRH010000020.1_21_A,NZ_JBEKRH010000020.1_21,0
RS_GCF_963678795.2,NZ_CAXXIR010000001.1_151_A,NZ_CAXXIR010000001.1_151,0
GB_GCA_001602925.1,LUZT01000006.1_402_A,LUZT01000006.1_402,0
GB_GCA_002011745.1,MTOU01000029.1_13_A,MTOU01000029.1_13,0
GB_GCA_002306975.1,DBTI01000098.1_8_A,DBTI01000098.1_8,0
GB_GCA_002307185.1,DBTT01000042.1_4_A,DBTT01000042.1_4,0
GB_GCA_002392915.1,DGHQ01000005.1_13_A,DGHQ01000005.1_13,0
GB_GCA_002413345.1,DHWU01000023.1_36_A,DHWU01000023.1_36,0
GB_GCA_002452405.1,DKFP01000009.1_223_A,DKFP01000009.1_223,0
GB_GCA_003246335.1,QKAR01000043.1_8_A,QKAR01000043.1_8,0
GB_GCA_003990955.1,BIFV01000005.1_3_A,BIFV01000005.1_3,0
