WP_011389145.1	WP_011389145.1
WP_012703358.1	WP_012703358.1
WP_010254223.1	WP_010254223.1
WP_011021229.1	WP_011021229.1
WP_248698083.1	WP_248698083.1
WP_011023300.1	WP_011023300.1
WP_013066333.1	WP_013066333.1
NTU92269.1	NTU92269.1
WP_136348135.1	WP_136348135.1
PIP00264.1	PIP00264.1
WP_062327263.1	WP_062327263.1
WP_150434765.1	WP_150434765.1
WP_310577043.1	WP_310577043.1
WP_185258023.1	WP_185258023.1
MFV0529536.1	MFV0529536.1
WP_079423836.1	WP_079423836.1
WP_013486181.1	WP_013486181.1
WP_048138966.1	WP_048138966.1
MDD2270665.1	MDD2270665.1
MDD2270665.1	MDD2270665.1
WP_101250498.1	WP_101250498.1
HSQ40851.1	HSQ40851.1
NTV45813.1	NTV45813.1
HBE78829.1	HBE78829.1
WP_295221965.1	WP_295221965.1
HEY8804832.1	HEY8804832.1
WP_165868468.1	WP_165868468.1
WP_108029030.1	WP_108029030.1
WP_303851313.1	WP_303851313.1
WP_137714499.1	WP_137714499.1
WP_167168124.1	WP_167168124.1
MDR2151872.1	MDR2151872.1
HEY5587509.1	HEY5587509.1
WP_054877136.1	WP_054877136.1
WP_331122738.1	WP_331122738.1
WP_226124602.1	WP_226124602.1
