GenomeID,Gene,Hit,E-value,Bit Score,Bias,Domain Start,Domain End,Location,Orientation,Flag_Bias,contig,pos_num,operon,top_hit,GTDB,Seq,residue_match
GB_GCA_002495625.1,vnfG,DAGC01000002.1_84_A,3.2e-36,121.1,2.0,4,116,69595-69945,1,0,DAGC01000002.1,84,3,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_A;s__Methanobacterium_A sp002495625,,vnfG
GB_GCA_002508465.1,vnfG,DAQQ01000136.1_38_A,3.2e-52,173.2,0.6,0,112,44296-44634,-1,0,DAQQ01000136.1,38,1,vnfG,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp002508465,,vnfG
GB_GCA_002508465.1,vnfG,DAQQ01000252.1_5_A,1.5e-37,125.8,0.1,4,116,5080-5430,-1,0,DAQQ01000252.1,5,1,anfG,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp002508465,,vnfG
GB_GCA_003151535.1,vnfG,PLXT01000077.1_58_A,2.2e-37,125.4,0.2,4,116,59070-59420,1,0,PLXT01000077.1,58,1,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B sp003151535,,vnfG
GB_GCA_003158115.1,vnfG,PMGM01000034.1_9_A,1.5000000000000002e-38,128.6,0.4,4,116,5626-5976,1,0,PMGM01000034.1,9,1,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B sp003158115,,vnfG
GB_GCA_003164415.1,vnfG,PLTK01000024.1_10_A,1.9000000000000002e-38,128.3,0.4,4,116,6287-6637,-1,0,PLTK01000024.1,10,1,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B sp003164415,,vnfG
GB_GCA_003164755.1,vnfG,PLUB01000010.1_87_A,3.6e-37,124.4,0.2,4,116,99842-100192,1,0,PLUB01000010.1,87,2,anfG,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp003164755,,vnfG
GB_GCA_003978865.1,vnfG,QNXS01000077.1_16_A,1.3e-42,140.8,0.3,0,113,12824-13165,-1,0,QNXS01000077.1,16,1,vnfG,d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WAPX01;s__WAPX01 sp003978865,,vnfG
GB_GCA_009712615.1,vnfG,WASR01000091.1_3_A,1.2e-34,115.9,5.3,4,116,2945-3295,1,0,WASR01000091.1,3,1,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B sp009712615,,vnfG
GB_GCA_015520485.1,vnfG,WAPX01000068.1_27_A,5.5e-42,139.1,0.2,0,113,21452-21793,-1,0,WAPX01000068.1,27,1,vnfG,d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WAPX01;s__WAPX01 sp015520485,,vnfG
GB_GCA_015661405.1,vnfG,JACWMK010000023.1_15_A,2.7e-38,127.9,1.2,4,116,14685-15035,-1,0,JACWMK010000023.1,15,1,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_A;s__Methanobacterium_A sp015661405,,vnfG
GB_GCA_023399215.1,vnfG,JAEWQJ010000031.1_66_A,5.2e-51,169.2,0.2,0,112,89181-89519,-1,0,JAEWQJ010000031.1,66,1,vnfG,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp023399215,,vnfG
GB_GCA_023430285.1,vnfG,JAEZAV010000106.1_6_A,7.3e-36,119.8,6.6,5,117,7396-7749,1,0,JAEZAV010000106.1,6,1,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B sp023430285,,vnfG
GB_GCA_024167805.1,vnfG,CP099988.1_2316_A,1.4e-35,119.3,5.8,4,116,2054477-2054827,1,0,CP099988.1,2316,9,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B sp024167805,,vnfG
GB_GCA_027066965.1,vnfG,JAMOMT010000139.1_7_A,1.1999999999999999e-35,118.7,0.0,7,120,7487-7849,-1,0,JAMOMT010000139.1,7,1,vnfG,d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WAPX01;s__WAPX01 sp027066965,,vnfG
GB_GCA_028679775.1,vnfG,JAJRAX010000194.1_7_A,1.5999999999999999e-24,83.5,0.2,0,77,4277-4510,1,0,JAJRAX010000194.1,7,1,vnfG,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix sp028679775,,vnfG
GB_GCA_028688175.1,vnfG,JAQTYS010000031.1_11_A,7.5e-47,155.7,0.1,2,114,10828-11172,-1,0,JAQTYS010000031.1,11,1,vnfG,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix sp028688175,,vnfG
GB_GCA_035402785.1,vnfG,DAONDW010000081.1_4_A,1.3e-45,151.0,0.4,2,114,3596-3940,-1,0,DAONDW010000081.1,4,1,vnfG,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix sp035402785,,vnfG
GB_GCA_035560835.1,vnfG,DATMYS010000534.1_5_A,2.5e-38,128.1,0.1,4,116,3426-3776,1,0,DATMYS010000534.1,5,1,anfG,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp035560835,,vnfG
GB_GCA_039666455.1,vnfG,JAVSLW010000019.1_51_A,4.7e-37,123.6,1.6,4,116,38699-39049,1,0,JAVSLW010000019.1,51,1,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_D;s__Methanobacterium_D sp039666455,,vnfG
GB_GCA_963703015.1,vnfG,OY969779.1_440_A,7.8e-36,119.9,6.4,4,116,469837-470187,-1,0,OY969779.1,440,5,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B sp963703015,,vnfG
GB_GCA_963704525.1,vnfG,OY969914.1_880_A,4.1e-37,123.9,4.3,4,116,901175-901525,-1,0,OY969914.1,880,4,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B sp963704525,,vnfG
GB_GCA_963707035.1,vnfG,CAVPON010000009.1_254_A,1.0000000000000001e-39,132.5,1.7,4,116,231700-232050,-1,0,CAVPON010000009.1,254,1,anfG,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_A;s__Methanobacterium_A sp963707035,,vnfG
GB_GCA_963727895.1,vnfG,CAVSHT010000007.1_61_A,6.6e-23,78.9,0.2,4,77,51337-51573,-1,0,CAVSHT010000007.1,61,1,anfG,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp963727895,,vnfG
GB_GCA_963727895.1,vnfG,CAVSHT010000011.1_28_A,1.3e-52,174.6,0.9,0,112,30211-30549,-1,0,CAVSHT010000011.1,28,1,vnfG,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp963727895,,vnfG
GB_GCA_963733675.1,vnfG,CAVTET010000004.1_148_A,1.4e-38,129.2,0.4,4,116,162766-163116,-1,0,CAVTET010000004.1,148,1,anfG,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp963733675,,vnfG
