,GenomeID,Gene,Hit,E-value,Bit Score,Bias,Domain Start,Domain End,Location,Orientation,Flag_Bias,contig,pos_num,operon,top_hit,GTDB,Seq,residue_match
22359,GB_GCA_000306725.1,nifD,CP003083.1_1275_A,2.5e-215,712.8,3.5,0,525,1333636-1335213,1,0,CP003083.1,1275,8,nifD,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,,nifD
22360,GB_GCA_000306725.1,nifD,CP003083.1_1276_A,1.7e-16,57.1,0.0,19,448,1335227-1336597,1,0,CP003083.1,1276,8,nifK,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,,nifD
22361,GB_GCA_000306725.1,nifD,CP003083.1_1277_A,4.2e-142,471.3,0.1,3,460,1336629-1338131,1,0,CP003083.1,1277,8,nifE,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,,nifD
22362,GB_GCA_000309865.1,nifD,AMGN01000049.1_7_A,2.8999999999999998e-151,501.2,0.2,28,514,5358-7046,-1,0,AMGN01000049.1,7,1,nifE,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865,,nifD
22363,GB_GCA_000309865.1,nifD,AMGN01000049.1_9_A,9.9e-189,624.8,0.0,3,474,8526-10028,-1,0,AMGN01000049.1,9,1,nifD,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865,,nifD
22364,GB_GCA_000499765.1,nifD,HG425166.1_123_A,3.3e-18,62.2,0.0,14,455,127509-128936,-1,0,HG425166.1,123,6,nifN,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765,,nifD
22365,GB_GCA_000499765.1,nifD,HG425166.1_124_A,9.4e-155,512.5,0.7,2,455,128929-130377,-1,0,HG425166.1,124,6,nifE,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765,,nifD
22366,GB_GCA_000499765.1,nifD,HG425166.1_126_A,4.8e-186,615.7,0.1,4,474,131935-133413,-1,0,HG425166.1,126,6,nifD,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765,,nifD
22367,GB_GCA_000499765.1,nifD,HG425166.1_1141_A,3.2e-56,187.6,0.0,5,492,1137937-1139469,1,0,HG425166.1,1141,11,nifD,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765,,nifD
22368,GB_GCA_001412355.1,nifD,LKUD01000004.1_42_A,1.6999999999999996e-31,106.1,0.0,1,317,36060-37103,-1,0,LKUD01000004.1,42,1,nifE,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__LKUD01;s__LKUD01 sp001412355,,nifD
22369,GB_GCA_001421175.1,nifD,LJKL01000015.1_102_A,5.2e-29,97.4,0.0,101,529,96223-97818,1,0,LJKL01000015.1,102,1,nifD,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__RumEn-M2;s__RumEn-M2 sp001421175,,nifD
22371,GB_GCA_001509375.1,nifD,LGFT01000025.1_48_A,5.1e-26,88.3,0.0,17,423,45207-46535,1,0,LGFT01000025.1,48,2,nifE,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanocrinis;s__Methanocrinis harundinacea_D,,nifD
22373,GB_GCA_001509375.1,nifD,LGFT01000081.1_4_A,1.3000000000000001e-201,667.2,0.1,6,538,1929-3545,1,0,LGFT01000081.1,4,1,nifD,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanocrinis;s__Methanocrinis harundinacea_D,,nifD
22375,GB_GCA_001560915.1,nifD,CP014214.1_1509_A,1.2e-24,83.3,0.0,260,701,1592612-1594726,1,0,CP014214.1,1509,4,nifH,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp001560915,,nifD
22376,GB_GCA_001602645.1,nifD,LUYE01000021.1_23_A,3.9e-27,92.0,0.0,17,423,25775-27103,1,0,LUYE01000021.1,23,1,nifE,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanocrinis;s__Methanocrinis sp001602645,,nifD
22381,GB_GCA_001602645.1,nifD,LUYE01000048.1_17_A,2.9e-138,458.5,0.0,2,454,19530-20975,-1,0,LUYE01000048.1,17,1,nifE,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanocrinis;s__Methanocrinis sp001602645,,nifD
22382,GB_GCA_001602645.1,nifD,LUYE01000048.1_19_A,2.1e-207,686.4,0.7,1,537,22337-23953,-1,0,LUYE01000048.1,19,1,nifD,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanocrinis;s__Methanocrinis sp001602645,,nifD
22384,GB_GCA_001714685.2,nifD,MDTP02000079.1_21_A,1.2e-134,447.0,0.1,3,471,20238-21803,-1,0,MDTP02000079.1,21,1,nifE,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp001714685,,nifD
22385,GB_GCA_001714685.2,nifD,MDTP02000079.1_22_A,1.3e-18,64.5,0.0,19,447,21946-23316,-1,0,MDTP02000079.1,22,1,nifK,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp001714685,,nifD
22386,GB_GCA_001714685.2,nifD,MDTP02000079.1_23_A,6.4e-216,715.1,1.1,2,532,23330-24928,-1,0,MDTP02000079.1,23,1,nifD,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp001714685,,nifD
22387,GB_GCA_002067065.1,nifD,MVPY01000087.1_11_A,2.5e-15,53.0,0.0,9,449,7901-9313,-1,0,MVPY01000087.1,11,1,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp002067065,,nifD
22388,GB_GCA_002067065.1,nifD,MVPY01000087.1_12_A,2.2e-155,514.8,0.5,2,456,9303-10700,-1,0,MVPY01000087.1,12,1,nifE,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp002067065,,nifD
22389,GB_GCA_002067065.1,nifD,MVPY01000087.1_14_A,2.7000000000000007e-186,616.8,0.1,4,474,12336-13814,-1,0,MVPY01000087.1,14,1,nifD,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp002067065,,nifD
