,hit,contig,score
GB_GCA_002495625.1,DAGC01000002.1_84_A,DAGC01000002.1_84,0
GB_GCA_003158115.1,PMGM01000034.1_9_A,PMGM01000034.1_9,0
GB_GCA_009712615.1,WASR01000091.1_3_A,WASR01000091.1_3,0
GB_GCA_023430285.1,JAEZAV010000106.1_6_A,JAEZAV010000106.1_6,0
GB_GCA_028688175.1,JAQTYS010000031.1_11_A,JAQTYS010000031.1_11,0
GB_GCA_963703015.1,OY969779.1_440_A,OY969779.1_440,0
GB_GCA_963727895.1,CAVSHT010000011.1_28_A,CAVSHT010000011.1_28,0
GB_GCA_963788665.1,CAWBHV010000050.1_17_A,CAWBHV010000050.1_17,0
GB_GCA_963845285.1,CAWJRO010000011.1_22_A,CAWJRO010000011.1_22,0
RS_GCF_000191585.1,NC_015216.1_1810_A,NC_015216.1_1810,0
RS_GCF_000969985.1,NZ_CP009526.1_3433_A,NZ_CP009526.1_3433,0
RS_GCF_000970305.1,NZ_CP009517.1_2004_A,NZ_CP009517.1_2004,0
RS_GCF_031461075.1,NZ_JAVKPK010000082.1_9_A,NZ_JAVKPK010000082.1_9,0
RS_GCF_052057765.1,NZ_CP195120.1_2864_A,NZ_CP195120.1_2864,0
GB_GCA_000307955.1,ALAO01000189.1_11_A,ALAO01000189.1_11,0
GB_GCA_001602925.1,LUZT01000006.1_399_A,LUZT01000006.1_399,0
GB_GCA_002163975.1,CP019636.1_4006_B,CP019636.1_4006,0
GB_GCA_002306005.1,DBRO01000033.1_8_B,DBRO01000033.1_8,0
GB_GCA_002307035.1,DBTL01000134.1_19_A,DBTL01000134.1_19,0
GB_GCA_002307215.1,DBTU01000011.1_39_A,DBTU01000011.1_39,0
GB_GCA_002368155.1,AP018180.1_807_B,AP018180.1_807,0
GB_GCA_002413345.1,DHWU01000023.1_42_A,DHWU01000023.1_42,0
GB_GCA_002452405.1,DKFP01000009.1_220_A,DKFP01000009.1_220,0
GB_GCA_003158255.1,PMIH01000030.1_61_A,PMIH01000030.1_61,0
GB_GCA_003251535.1,QKFD01000024.1_185_A,QKFD01000024.1_185,0
GB_GCA_003501375.1,DNPO01000431.1_5_A,DNPO01000431.1_5,0
GB_GCA_012031845.1,JAAUTD010000318.1_3_A,JAAUTD010000318.1_3,0
GB_GCA_013334435.1,JAAXXP010000007.1_45_A,JAAXXP010000007.1_45,0
GB_GCA_014697355.1,JACJRQ010000001.1_352_B,JACJRQ010000001.1_352,0
GB_GCA_015654615.1,JAATGN010000040.1_16_A,JAATGN010000040.1_16,0
GB_GCA_015654715.1,JAATGK010000504.1_2_A,JAATGK010000504.1_2,0
GB_GCA_015655075.1,JAATFT010000093.1_13_A,JAATFT010000093.1_13,0
GB_GCA_016213825.1,JACQZP010000031.1_39_A,JACQZP010000031.1_39,0
GB_GCA_016903675.1,JADQBA010000100.1_26_B,JADQBA010000100.1_26,0
GB_GCA_017982655.1,JABXYX010000042.1_2_A,JABXYX010000042.1_2,0
GB_GCA_018262235.1,JAGTRY010000045.1_34_A,JAGTRY010000045.1_34,0
GB_GCA_019359515.1,JAHHHC010000032.1_22_B,JAHHHC010000032.1_22,0
GB_GCA_021779235.1,JAJYBA010000030.1_5_A,JAJYBA010000030.1_5,0
GB_GCA_021798485.1,JAJZGK010000067.1_9_A,JAJZGK010000067.1_9,0
GB_GCA_023386035.1,JAEWKM010000045.1_10_A,JAEWKM010000045.1_10,0
GB_GCA_023390115.1,JAEWDM010000016.1_119_A,JAEWDM010000016.1_119,0
GB_GCA_023392075.1,JAEVZU010000095.1_5_A,JAEVZU010000095.1_5,0
GB_GCA_023398615.1,JAEWSD010000210.1_8_A,JAEWSD010000210.1_8,0
GB_GCA_023400055.1,JAEXFN010000018.1_380_A,JAEXFN010000018.1_380,0
GB_GCA_023407575.1,JAEYLX010000019.1_71_A,JAEYLX010000019.1_71,0
GB_GCA_023410535.1,JAEYPR010000036.1_116_A,JAEYPR010000036.1_116,0
GB_GCA_023417745.1,JAEZEM010000176.1_4_A,JAEZEM010000176.1_4,0
